perturbation_id,target_contrast_gene_name,target_contrast,culture_condition,ontarget_effect_size,ontarget_significant,guide_correlation_all,guide_correlation_all_pval,donor_correlation_hits_mean,n_downstream,n_total_de_genes,n_up_genes,n_down_genes,n_cells_target,target_baseMean,_guide_ok,_donor_ok
ENSG00000104859_Stim8hr,CLASRP,ENSG00000104859,Stim8hr,-6.9022000367216725,True,,,0.7619661024359984,196,197,104,93,110.0,52.75284986886814,False,True
ENSG00000121940_Stim48hr,CLCC1,ENSG00000121940,Stim48hr,-15.2996381298409,True,0.2800687155823445,1.4277905240689743e-206,0.7765518038953562,1731,1732,850,882,911.0,37.69647773009298,True,True
ENSG00000121940_Stim8hr,CLCC1,ENSG00000121940,Stim8hr,-16.635371928910605,True,0.1111182040103022,5.674722295246332e-33,0.6054429718690129,679,680,475,205,1040.0,32.907657260486786,True,True
ENSG00000109572_Rest,CLCN3,ENSG00000109572,Rest,-13.577976387314951,True,0.037590216182508,5.454573076534122e-05,,0,1,0,1,621.0,38.67890343363176,True,False
ENSG00000109572_Stim48hr,CLCN3,ENSG00000109572,Stim48hr,-13.271718838652507,True,0.0530548862917189,1.2168522435893396e-08,,0,1,0,1,792.0,51.76700672902199,True,False
ENSG00000109572_Stim8hr,CLCN3,ENSG00000109572,Stim8hr,-15.276049501206804,True,0.0564999811389461,1.2961219071668786e-09,,1,2,0,2,662.0,50.2846039983482,True,False
ENSG00000080822_Stim48hr,CLDND1,ENSG00000080822,Stim48hr,-27.95554257786019,True,-0.0616795752383132,3.4686807477333856e-11,0.3520437075359148,55,56,28,28,452.0,600.9079415689763,False,True
ENSG00000160318_Stim48hr,CLDND2,ENSG00000160318,Stim48hr,-5.220242656541436,True,0.0946288906646645,2.499033345683405e-24,,6,7,2,5,311.0,10.80881934468639,True,False
ENSG00000160318_Stim8hr,CLDND2,ENSG00000160318,Stim8hr,-3.694250008267853,True,0.0684249815640717,1.9625647620887933e-13,0.8718512908969575,43,44,28,16,255.0,7.180843390256609,True,True
ENSG00000110852_Stim48hr,CLEC2B,ENSG00000110852,Stim48hr,-8.964123929544963,True,0.0329735012375424,0.0004011005967068,,2,3,2,1,285.0,156.06856017784742,True,False
ENSG00000110852_Stim8hr,CLEC2B,ENSG00000110852,Stim8hr,-7.6038413732431716,True,0.0621552255870137,2.4496448133846723e-11,,7,8,3,5,216.0,62.479791466305706,True,False
ENSG00000169504_Rest,CLIC4,ENSG00000169504,Rest,-8.464524788580798,True,0.0693785711512374,9.053992128167603e-14,,1,2,1,1,820.0,23.189815648017312,True,False
ENSG00000169504_Stim48hr,CLIC4,ENSG00000169504,Stim48hr,-15.579240270441796,True,0.0867456804949825,1.096434343969361e-20,,0,1,0,1,741.0,73.4213679858661,True,False
