gene,axis,n_kd,n_sig_used,n_excl_circular,ntc_mean_cp10k,frac_expr_ntc,spearman_dose_R,p,dose_reliable,well_powered,power_note
LAT,TCR-proximal,469,145,2,4.37,0.915,-0.299,3.559469003555601e-11,True,True,ok
PLCG1,TCR-proximal,421,146,1,1.479,0.708,-0.038,0.43429841907354366,True,True,ok
CD247,TCR-proximal,412,148,1,2.608,0.836,-0.426,1.460277119576808e-19,True,True,ok
CD3E,TCR-proximal,234,148,2,5.263,0.958,-0.336,1.3982670566863975e-07,True,True,ok
ZAP70,TCR-proximal,144,146,2,4.337,0.918,-0.392,1.1469083403669929e-06,True,False,underpowered(<150)
VAV1,TCR-proximal,504,147,1,1.077,0.629,-0.111,0.0128115222993335,True,True,ok
SMARCE1,chromatin (SMARCE1),142,135,3,1.698,0.795,-0.333,5.2741474935036606e-05,True,False,underpowered(<150)
SGF29,chromatin/TF,1062,143,2,0.353,0.321,-0.125,4.297995060364225e-05,True,True,ok
MED24,chromatin/TF,700,148,2,1.242,0.695,-0.21,2.0073968068260216e-08,True,True,ok
MED12,chromatin/TF,219,146,2,0.714,0.521,-0.275,3.668452205432217e-05,True,True,ok
TADA2B,chromatin/TF,1489,147,1,0.678,0.499,-0.176,8.844798632801191e-12,True,True,ok
NSD1,chromatin/TF,765,145,1,2.291,0.852,-0.155,1.7639670237942462e-05,True,True,ok
CHD4,chromatin/TF,246,122,3,1.602,0.749,-0.318,3.356800284270188e-07,True,True,ok
SMARCB1,chromatin/TF,258,129,2,2.02,0.819,-0.374,5.545858157829815e-10,True,True,ok
STAT6,chromatin/TF,612,144,2,1.057,0.63,-0.259,8.132054834638907e-11,True,True,ok
TRIP12,chromatin/TF,1477,139,1,2.788,0.885,-0.177,7.715913492130813e-12,True,True,ok
ARNT,chromatin/TF,844,147,1,0.435,0.375,-0.207,1.3699364454210615e-09,True,True,ok
SEL1L,chromatin/TF,114,144,1,1.211,0.68,-0.226,0.015594816773035557,True,False,underpowered(<150)
SIK3,chromatin/TF,330,144,3,0.779,0.531,-0.161,0.0034602752813443554,True,True,ok
