gene,axis,n_kd,R_kd_median,R_ntc_p95,responder_frac,R_kd_IQR,bimodality_coef,mwu_p_greater
LAT,TCR-proximal,469,1.339,0.503,0.817,0.852,0.647,1.2633218993087832e-218
PLCG1,TCR-proximal,421,1.255,0.526,0.677,1.281,0.63,9.139974703491618e-151
CD247,TCR-proximal,412,1.129,0.519,0.638,1.431,0.662,2.752126548407002e-110
CD3E,TCR-proximal,234,1.6,0.485,0.949,0.442,0.645,1.1335561900708557e-139
ZAP70,TCR-proximal,144,1.679,0.492,0.965,0.371,0.624,5.090913096530787e-92
VAV1,TCR-proximal,504,1.107,0.505,0.778,0.775,0.588,1.7974439980268386e-229
SMARCE1,chromatin (SMARCE1),142,0.901,0.209,0.958,0.353,0.375,3.542219297905095e-88
SGF29,chromatin/TF,1062,0.406,0.198,0.856,0.229,0.386,0.0
MED24,chromatin/TF,700,0.516,0.221,0.92,0.229,0.365,0.0
MED12,chromatin/TF,219,0.927,0.362,0.858,0.476,0.52,2.6414848564719623e-106
TADA2B,chromatin/TF,1489,0.548,0.29,0.841,0.298,0.352,0.0
NSD1,chromatin/TF,765,0.41,0.202,0.895,0.206,0.41,0.0
CHD4,chromatin/TF,246,0.363,0.253,0.626,0.525,0.555,1.3609767115806405e-96
SMARCB1,chromatin/TF,258,0.468,0.217,0.872,0.472,0.51,4.4869444414766344e-149
STAT6,chromatin/TF,612,0.261,0.241,0.582,0.144,0.271,5.260490754082059e-285
TRIP12,chromatin/TF,1477,0.224,0.283,0.347,0.212,0.323,0.0
ARNT,chromatin/TF,844,0.442,0.302,0.776,0.218,0.381,0.0
SEL1L,chromatin/TF,114,0.802,0.346,0.816,0.665,0.355,3.906148118208279e-54
SIK3,chromatin/TF,330,0.388,0.268,0.724,0.286,0.349,2.0824715866602167e-161
