gene,axis,n_kd,spearman_baseAct_R,p,R_lowAct,R_highAct,delta_hi_lo
LAT,TCR-proximal,295,-0.405,4.2957534438147703e-13,0.938,0.5,-0.438
PLCG1,TCR-proximal,267,-0.533,5.8509076315273286e-21,0.975,0.34,-0.635
CD247,TCR-proximal,266,-0.536,3.353117797945992e-21,0.771,0.188,-0.582
CD3E,TCR-proximal,91,-0.485,1.1091299690733855e-06,1.375,0.567,-0.808
ZAP70,TCR-proximal,52,-0.224,0.11084431150366333,1.329,0.989,-0.34
VAV1,TCR-proximal,321,-0.38,1.7200892462526087e-12,0.928,0.618,-0.31
SMARCE1,chromatin (SMARCE1),106,-0.402,1.974295055297425e-05,0.947,0.603,-0.343
SGF29,chromatin/TF,993,-0.062,0.051938909035794255,0.489,0.451,-0.038
MED24,chromatin/TF,669,0.205,9.439698559236012e-08,0.339,0.412,0.073
MED12,chromatin/TF,191,-0.009,0.8990690478945886,0.611,0.658,0.047
TADA2B,chromatin/TF,1178,-0.099,0.0006577206388440551,0.594,0.54,-0.054
NSD1,chromatin/TF,683,-0.177,3.1008447469322736e-06,0.433,0.38,-0.053
CHD4,chromatin/TF,233,0.161,0.013726637520920732,0.285,0.37,0.085
SMARCB1,chromatin/TF,178,-0.413,1.0452631995886733e-08,0.548,0.284,-0.264
STAT6,chromatin/TF,779,0.265,5.694831035186767e-14,0.284,0.398,0.114
TRIP12,chromatin/TF,1555,0.028,0.269599643008548,0.172,0.179,0.007
ARNT,chromatin/TF,795,0.029,0.4209556398606275,0.556,0.553,-0.003
SEL1L,chromatin/TF,92,0.209,0.04523402874349495,0.293,0.443,0.15
SIK3,chromatin/TF,324,0.105,0.05825437885040727,0.431,0.516,0.085
