rank,gene,condition,n_suppress_effector,suppress_sum_absz,suppress_max_absz,suppress_cytokines,n_boost,boost_sum_absz,boost_max_absz,boost_cytokines
376.0,NDFIP2,Stim48hr,2,6.9510000000000005,3.66,"IL2,LTA",0,,,
377.0,SEPSECS,Stim48hr,2,6.946,3.649,"CSF2,IFNG",1,4.368,4.368,CTLA4
378.0,HERC4,Stim8hr,2,6.939,3.489,"IL3,TNF",0,,,
379.0,TUFM,Stim8hr,2,6.915,3.75,"IL4,IL5",1,3.962,3.962,IL10
380.0,KDM1A,Stim8hr,2,6.902,3.819,"IL3,IL5",2,6.191,3.553,"IL10,IL21"
381.0,AP2A1,Stim48hr,2,6.893,3.501,"IL13,IL2RA",0,,,
382.0,ID2,Stim48hr,2,6.885,3.498,"IL4,IL5",0,,,
383.0,ZC3HC1,Stim48hr,2,6.855,3.62,"IL22,IL3",0,,,
384.0,ARID1A,Stim8hr,2,6.852,3.531,"CSF2,IL13",0,,,
385.0,ZC3H10,Stim48hr,2,6.849,3.739,"IL4,LTA",0,,,
386.0,WAS,Stim8hr,2,6.811,3.975,"IFNG,LTA",0,,,
387.0,PARP2,Stim48hr,2,6.786,4.114,"IL3,LTA",0,,,
388.0,TSC1,Stim8hr,2,6.73,3.789,"IL2,LTA",0,,,
389.0,WDR59,Stim8hr,2,6.688,3.502,"IL21,IL3",0,,,
390.0,UBE2I,Stim8hr,2,6.667,3.51,"IL2RA,IL5",0,,,
391.0,SEL1L,Stim8hr,2,6.659000000000001,3.708,"IL22,IL5",0,,,
392.0,UXS1,Rest,2,6.643000000000001,3.556,"LTA,TNF",0,,,
393.0,WDR82,Stim48hr,2,6.633,3.923,"CSF2,IL2",0,,,
394.0,RTTN,Stim8hr,2,6.6129999999999995,3.58,"CSF2,LTA",0,,,
395.0,HDAC7,Stim48hr,2,6.593999999999999,3.413,"IL4,IL5",0,,,
396.0,AIFM1,Stim48hr,2,6.59,3.352,"IL3,IL5",0,,,
397.0,ZNF710,Stim48hr,2,6.5809999999999995,3.328,"CSF2,IL3",0,,,
398.0,CARD11,Stim8hr,2,6.564,3.637,"IL13,LTA",0,,,
399.0,PFAS,Stim8hr,2,6.54,3.345,"IFNG,IL5",0,,,
400.0,RRAGC,Stim48hr,2,6.523,3.355,"IFNG,IL22",0,,,
401.0,PDPK1,Stim48hr,2,6.502000000000001,3.406,"IL13,IL4",1,3.572,3.572,CTLA4
402.0,CCS,Stim8hr,2,6.497,3.564,"IL4,IL5",1,3.844,3.844,IL10
403.0,ACTR2,Stim8hr,2,6.484999999999999,3.562,"IL2RA,IL5",0,,,
404.0,RB1CC1,Stim48hr,2,6.478,3.722,"IL4,TNF",0,,,
405.0,NSD1,Stim8hr,2,6.47,3.897,"IL2RA,IL3",2,7.425000000000001,4.192,"CTLA4,IL10"
406.0,FANCL,Stim48hr,2,6.4510000000000005,3.273,"IL2,IL4",0,,,
407.0,GDAP2,Stim8hr,2,6.443,3.231,"IL22,IL5",2,6.666,3.578,"IL10,IL4"
408.0,PTPRC,Stim48hr,2,6.43,3.694,"IL2,IL5",2,6.959999999999999,4.217,"IL13,IL2RA"
409.0,TTC4,Stim8hr,2,6.422,3.352,"IL4,IL5",0,,,
410.0,TIAL1,Stim8hr,2,6.4079999999999995,3.286,"IL22,IL4",0,,,
411.0,TAF6L,Stim48hr,2,6.388,3.4,"IL2RA,TNF",2,8.051,5.414,"CTLA4,IL22"
412.0,CFAP20,Rest,2,6.381,3.397,"IL2RA,LTA",0,,,
413.0,DNAJC24,Stim8hr,2,6.381,3.55,"IL22,IL4",2,6.52,3.585,"IFNG,IL2RA"
414.0,PAXIP1,Stim8hr,2,6.369,3.554,"IL2RA,LTA",0,,,
415.0,CASK,Stim48hr,2,6.368,3.332,"IL2RA,IL4",0,,,
416.0,ALG8,Stim8hr,2,6.351,3.21,"IL3,TNF",0,,,
417.0,ZC3H4,Stim8hr,2,6.351,3.184,"IL22,IL5",0,,,
418.0,MTG1,Stim48hr,2,6.342,3.34,"IL2RA,IL5",0,,,
419.0,PTPN2,Stim48hr,2,6.332000000000001,3.357,"IL2,TNF",0,,,
420.0,MTCH2,Stim48hr,2,6.323,3.405,"IL21,IL3",0,,,
421.0,TEP1,Stim8hr,2,6.292999999999999,3.287,"IL22,IL2RA",0,,,
422.0,EIF4A1,Stim48hr,2,6.284,3.275,"IL2RA,IL5",1,2.783,2.783,CSF2
423.0,GDAP2,Stim48hr,2,6.259,3.641,"IL13,IL5",1,5.204,5.204,IL3
424.0,PPM1D,Stim8hr,2,6.2509999999999994,3.134,"IL13,IL5",0,,,
425.0,SAP130,Stim8hr,2,6.231,3.342,"IL13,IL22",0,,,
426.0,EMG1,Stim8hr,2,6.212,3.129,"IL2,LTA",0,,,
427.0,UTP23,Stim48hr,2,6.21,3.192,"IL2RA,IL3",0,,,
428.0,CNOT4,Stim8hr,2,6.202,3.269,"CSF2,IFNG",0,,,
429.0,ATXN7L3,Stim48hr,2,6.188,3.264,"IL3,LTA",0,,,
430.0,POLG2,Stim48hr,2,6.182,3.331,"IFNG,IL3",0,,,
431.0,GNE,Stim48hr,2,6.181,3.194,"IL22,LTA",0,,,
432.0,SRSF10,Stim8hr,2,6.179,3.515,"IL22,IL5",0,,,
433.0,TMED9,Rest,2,6.170999999999999,3.496,"LTA,TNF",3,11.364,5.397,"CSF2,IL22,IL2RA"
434.0,PSIP1,Stim48hr,2,6.154,3.279,"IL2,IL3",0,,,
435.0,HEATR3,Stim8hr,2,6.143,3.098,"IL13,IL5",3,11.014,4.44,"IL10,LTA,TNF"
