rank,gene,condition,n_suppress_effector,suppress_sum_absz,suppress_max_absz,suppress_cytokines,n_boost,boost_sum_absz,boost_max_absz,boost_cytokines
620.0,PRKCSH,Stim8hr,1,4.284,4.284,IL22,0,,,
621.0,PDSS1,Stim48hr,1,4.283,4.283,IL5,0,,,
622.0,TSPAN15,Stim48hr,1,4.267,4.267,IL3,0,,,
623.0,GPALPP1,Stim8hr,1,4.26,4.26,IL13,0,,,
624.0,SHC4,Stim8hr,1,4.259,4.259,IL5,0,,,
625.0,DOT1L,Stim8hr,1,4.258,4.258,IL2,0,,,
626.0,MSH2,Stim8hr,1,4.258,4.258,IL5,0,,,
627.0,PKM,Rest,1,4.258,4.258,IL2RA,0,,,
628.0,TMEM220,Stim8hr,1,4.257,4.257,IL5,0,,,
629.0,MAN1A1,Stim8hr,1,4.255,4.255,IL13,0,,,
630.0,GMNN,Stim8hr,1,4.252,4.252,IL22,0,,,
631.0,NDUFA9,Stim48hr,1,4.251,4.251,IL5,0,,,
632.0,SYNGR2,Stim48hr,1,4.249,4.249,IL2,0,,,
633.0,PHF11,Stim8hr,1,4.247,4.247,IL22,0,,,
634.0,INTS15,Stim48hr,1,4.246,4.246,IL5,1,3.143,3.143,IL10
635.0,USP14,Stim8hr,1,4.246,4.246,IL5,0,,,
636.0,SEC16A,Stim8hr,1,4.245,4.245,IL3,0,,,
637.0,SELENOK,Stim48hr,1,4.243,4.243,IL3,0,,,
638.0,GDI1,Stim48hr,1,4.237,4.237,IL3,0,,,
639.0,DENND10,Stim48hr,1,4.23,4.23,IL2,0,,,
640.0,FHIP2A,Stim48hr,1,4.228,4.228,IL2,0,,,
641.0,ZCCHC4,Stim8hr,1,4.227,4.227,IL22,0,,,
642.0,CDKN2AIPNL,Stim48hr,1,4.226,4.226,IL2,0,,,
643.0,FNBP4,Stim8hr,1,4.224,4.224,LTA,1,3.011,3.011,IL13
644.0,TBC1D19,Stim8hr,1,4.22,4.22,IL5,0,,,
645.0,G3BP2,Stim48hr,1,4.215,4.215,IL2,0,,,
646.0,WBP4,Stim48hr,1,4.208,4.208,IL13,0,,,
647.0,DUSP18,Stim48hr,1,4.207,4.207,IL5,0,,,
648.0,INTS14,Stim48hr,1,4.206,4.206,IL3,1,2.708,2.708,TNF
649.0,RNF166,Stim48hr,1,4.201,4.201,IL3,0,,,
650.0,SLC10A7,Stim8hr,1,4.2,4.2,IL3,0,,,
651.0,ATXN1L,Stim48hr,1,4.196,4.196,IL5,0,,,
652.0,NAA40,Stim8hr,1,4.196,4.196,LTA,0,,,
653.0,OTUD6B,Stim48hr,1,4.196,4.196,IL3,0,,,
654.0,ZCCHC8,Stim48hr,1,4.196,4.196,IL2RA,0,,,
655.0,PQBP1,Stim48hr,1,4.194,4.194,IL3,0,,,
656.0,TMEM200A,Stim8hr,1,4.193,4.193,IL22,0,,,
657.0,MAML2,Stim48hr,1,4.192,4.192,IL4,0,,,
658.0,STMN1,Stim48hr,1,4.192,4.192,IL3,0,,,
659.0,DHX9,Stim8hr,1,4.191,4.191,IL13,1,4.352,4.352,IL10
660.0,AGRN,Stim8hr,1,4.189,4.189,IL22,0,,,
661.0,HACD2,Stim48hr,1,4.189,4.189,IL5,0,,,
662.0,ARID5A,Rest,1,4.188,4.188,TNF,0,,,
663.0,CLSTN1,Stim8hr,1,4.184,4.184,IL22,0,,,
664.0,RAB2B,Stim48hr,1,4.183,4.183,IL4,0,,,
665.0,RFFL,Stim8hr,1,4.179,4.179,IL5,0,,,
666.0,FBF1,Stim8hr,1,4.178,4.178,IL5,0,,,
667.0,FAM219A,Stim48hr,1,4.175,4.175,IL3,0,,,
668.0,CENPV,Stim8hr,1,4.173,4.173,IL22,0,,,
669.0,TRIM8,Stim48hr,1,4.171,4.171,IL2,0,,,
670.0,WDR44,Stim8hr,1,4.169,4.169,IL22,0,,,
671.0,EME1,Stim8hr,1,4.163,4.163,IL5,1,4.367,4.367,IL10
672.0,DNAAF2,Stim48hr,1,4.15,4.15,IL3,1,3.498,3.498,CSF2
673.0,ZNF586,Stim8hr,1,4.144,4.144,IL5,0,,,
674.0,RREB1,Stim8hr,1,4.137,4.137,IL3,0,,,
675.0,UBE2I,Rest,1,4.137,4.137,IL2RA,0,,,
676.0,FMR1,Stim48hr,1,4.134,4.134,IL3,0,,,
677.0,TIGAR,Stim48hr,1,4.128,4.128,IL3,0,,,
678.0,TANK,Stim48hr,1,4.125,4.125,IL2RA,0,,,
679.0,HNRNPD,Stim48hr,1,4.12,4.12,IL2RA,0,,,
680.0,CEP350,Stim48hr,1,4.118,4.118,IL4,1,3.731,3.731,CTLA4
681.0,CRLF3,Stim8hr,1,4.118,4.118,IL5,0,,,
682.0,TMX2,Stim8hr,1,4.117,4.117,IL22,2,8.632,4.568,"IL2,TNF"
683.0,MAD2L1BP,Stim48hr,1,4.113,4.113,IL3,0,,,
684.0,CCDC91,Stim48hr,1,4.111,4.111,IL5,0,,,
685.0,MYO1D,Stim8hr,1,4.111,4.111,IL3,0,,,
686.0,RNF115,Stim48hr,1,4.103,4.103,IL3,1,4.818,4.818,IL21
687.0,CANX,Stim48hr,1,4.1,4.1,IL3,0,,,
688.0,SMIM29,Stim48hr,1,4.099,4.099,IL2,0,,,
689.0,UBXN2B,Stim8hr,1,4.091,4.091,IL5,0,,,
690.0,CCDC127,Stim8hr,1,4.089,4.089,IL5,0,,,
691.0,FANCM,Stim48hr,1,4.084,4.084,IL3,0,,,
692.0,SS18,Stim8hr,1,4.084,4.084,IL22,0,,,
693.0,CUL4B,Stim48hr,1,4.08,4.08,IL3,0,,,
694.0,EMB,Stim8hr,1,4.08,4.08,IL5,0,,,
695.0,PAPSS1,Rest,1,4.062,4.062,LTA,0,,,
696.0,TMBIM4,Stim8hr,1,4.058,4.058,IL2,0,,,
697.0,LIG4,Stim8hr,1,4.055,4.055,IL22,0,,,
698.0,YY1,Stim48hr,1,4.051,4.051,IL4,1,2.807,2.807,CTLA4
699.0,YEATS2,Stim8hr,1,4.05,4.05,IL22,1,2.843,2.843,IL5
700.0,AHR,Stim48hr,1,4.048,4.048,IL22,1,2.45,2.45,LTA
701.0,PEPD,Stim48hr,1,4.044,4.044,IL3,0,,,
702.0,DEDD,Stim48hr,1,4.041,4.041,IL5,0,,,
703.0,C1orf159,Stim8hr,1,4.037,4.037,IL5,0,,,
704.0,ARF4,Stim8hr,1,4.036,4.036,IL2,0,,,
705.0,PLXNA4,Stim8hr,1,4.028,4.028,IL22,1,4.071,4.071,IL2RA
706.0,ATP5MF,Stim8hr,1,4.025,4.025,IL5,0,,,
707.0,HDAC3,Stim48hr,1,4.024,4.024,IL5,0,,,
708.0,IRF2BP1,Stim48hr,1,4.02,4.02,IL13,1,3.469,3.469,CTLA4
709.0,JTB,Stim48hr,1,4.017,4.017,IL2RA,0,,,
710.0,TBL1XR1,Stim48hr,1,4.015,4.015,IL2,1,3.172,3.172,IL10
711.0,ACTR8,Rest,1,4.013,4.013,IL2RA,0,,,
712.0,BICD1,Stim48hr,1,4.013,4.013,IL21,0,,,
713.0,DCUN1D3,Stim48hr,1,4.011,4.011,IL3,0,,,
714.0,SUPT20H,Rest,1,4.009,4.009,TNF,3,9.156,3.29,"IL22,IL2RA,LTA"
715.0,HMBS,Stim48hr,1,4.005,4.005,IL5,0,,,
716.0,EID2,Stim8hr,1,4.002,4.002,IL4,0,,,
717.0,PAK2,Stim48hr,1,4.002,4.002,IL3,0,,,
718.0,CDCA3,Stim8hr,1,3.998,3.998,IL4,1,4.625,4.625,CTLA4
719.0,DMXL1,Stim8hr,1,3.993,3.993,IL22,0,,,
720.0,RASA2,Stim8hr,1,3.993,3.993,IL4,0,,,
721.0,GSTO1,Stim48hr,1,3.992,3.992,IL3,0,,,
722.0,SLC25A28,Stim8hr,1,3.99,3.99,IL22,0,,,
723.0,SEC16A,Stim48hr,1,3.986,3.986,IL3,0,,,
724.0,PCBP2,Stim48hr,1,3.967,3.967,IL2,0,,,
725.0,SETD1B,Rest,1,3.961,3.961,IL2RA,0,,,
726.0,HACD2,Stim8hr,1,3.954,3.954,IL5,0,,,
727.0,SLC2A1,Stim48hr,1,3.949,3.949,IL22,0,,,
728.0,HSF2,Stim48hr,1,3.935,3.935,IL5,0,,,
729.0,HDAC2,Stim48hr,1,3.933,3.933,IL4,0,,,
730.0,HECTD1,Stim48hr,1,3.932,3.932,IL4,0,,,
731.0,IL21,Stim48hr,1,3.931,3.931,IL21,0,,,
732.0,SSR3,Stim48hr,1,3.93,3.93,IL22,0,,,
733.0,FLI1,Stim8hr,1,3.925,3.925,IL5,0,,,
734.0,HOMER1,Stim48hr,1,3.919,3.919,IL4,0,,,
735.0,EFR3A,Rest,1,3.912,3.912,LTA,0,,,
736.0,UQCRB,Stim8hr,1,3.911,3.911,IL5,2,8.042,4.498,"IL10,IL2"
737.0,YES1,Stim8hr,1,3.909,3.909,IL5,0,,,
738.0,GABPB1,Stim8hr,1,3.905,3.905,IL5,1,2.883,2.883,IL10
739.0,MAPRE3,Stim48hr,1,3.901,3.901,IL3,0,,,
740.0,PPIL1,Stim48hr,1,3.901,3.901,IL3,0,,,
741.0,ATP5MF,Stim48hr,1,3.897,3.897,IL3,0,,,
742.0,DUSP23,Stim48hr,1,3.894,3.894,IL22,0,,,
743.0,TRADD,Stim8hr,1,3.892,3.892,IL22,0,,,
744.0,IDH3A,Stim8hr,1,3.89,3.89,IL3,1,3.942,3.942,IL10
745.0,NDUFA9,Stim8hr,1,3.889,3.889,IL22,1,3.521,3.521,IL2
746.0,GATA3,Rest,1,3.888,3.888,IL2RA,1,3.164,3.164,LTA
747.0,MFSD6,Stim8hr,1,3.881,3.881,IL22,0,,,
748.0,ARPC1B,Stim48hr,1,3.879,3.879,IL3,0,,,
749.0,NUBPL,Stim48hr,1,3.878,3.878,IL5,0,,,
750.0,FOXK1,Stim48hr,1,3.871,3.871,IL2,0,,,
751.0,ANKRD10,Stim8hr,1,3.868,3.868,IL22,0,,,
752.0,RBM26,Stim8hr,1,3.862,3.862,IL22,0,,,
753.0,COMMD4,Stim48hr,1,3.857,3.857,IL3,0,,,
754.0,RCCD1,Stim48hr,1,3.848,3.848,IL22,0,,,
755.0,COA3,Stim8hr,1,3.838,3.838,IL22,0,,,
756.0,SREBF2,Stim48hr,1,3.835,3.835,CSF2,0,,,
757.0,KNOP1,Stim48hr,1,3.834,3.834,IL2,0,,,
758.0,DTWD1,Stim8hr,1,3.833,3.833,IL2RA,0,,,
759.0,FEM1A,Stim8hr,1,3.833,3.833,TNF,0,,,
760.0,PRRC2A,Stim48hr,1,3.833,3.833,IL5,0,,,
761.0,NCBP3,Stim48hr,1,3.832,3.832,IL3,0,,,
762.0,FAM136A,Stim48hr,1,3.822,3.822,IL5,0,,,
763.0,SMARCD1,Stim8hr,1,3.82,3.82,IL5,0,,,
764.0,ERCC1,Stim8hr,1,3.81,3.81,LTA,0,,,
765.0,C18orf32,Stim48hr,1,3.808,3.808,IL13,1,3.955,3.955,IFNG
766.0,FANCL,Stim8hr,1,3.808,3.808,IL22,0,,,
767.0,JUNB,Stim48hr,1,3.808,3.808,IL2,0,,,
768.0,THG1L,Stim8hr,1,3.807,3.807,LTA,0,,,
769.0,MEAF6,Stim48hr,1,3.8,3.8,IL3,0,,,
770.0,XIAP,Stim8hr,1,3.8,3.8,IL22,0,,,
771.0,RCAN3,Stim8hr,1,3.798,3.798,IL5,0,,,
772.0,POLG,Stim8hr,1,3.795,3.795,IL5,0,,,
773.0,DPH6,Stim8hr,1,3.793,3.793,IL5,1,3.202,3.202,IL10
774.0,NDUFA5,Stim48hr,1,3.791,3.791,IFNG,0,,,
775.0,PPP3R1,Stim8hr,1,3.786,3.786,IL22,1,3.423,3.423,IL13
776.0,LSM14A,Stim8hr,1,3.785,3.785,IL5,0,,,
777.0,NDUFS2,Stim48hr,1,3.785,3.785,IL22,0,,,
778.0,COMMD9,Stim48hr,1,3.783,3.783,IL22,0,,,
779.0,IL21,Stim8hr,1,3.783,3.783,IL21,0,,,
780.0,REST,Stim8hr,1,3.776,3.776,IL22,1,3.186,3.186,IL10
781.0,PGK1,Stim48hr,1,3.768,3.768,IL13,1,4.028,4.028,CTLA4
782.0,SRM,Stim8hr,1,3.768,3.768,IL4,0,,,
783.0,PHF8,Stim8hr,1,3.766,3.766,IL22,0,,,
784.0,HMGXB4,Stim48hr,1,3.765,3.765,IL5,1,3.668,3.668,IL2
785.0,SLC25A51,Stim8hr,1,3.761,3.761,IL5,0,,,
786.0,TM9SF3,Stim8hr,1,3.76,3.76,IL3,0,,,
787.0,TIMM10,Stim8hr,1,3.756,3.756,IL5,1,3.661,3.661,IL3
788.0,PHF3,Stim48hr,1,3.755,3.755,IL2RA,0,,,
789.0,RAD50,Rest,1,3.752,3.752,TNF,0,,,
790.0,PRRC2C,Stim8hr,1,3.744,3.744,IL22,0,,,
791.0,APMAP,Stim8hr,1,3.742,3.742,IL5,0,,,
792.0,SSR3,Stim8hr,1,3.739,3.739,IL4,0,,,
793.0,FBRS,Stim8hr,1,3.738,3.738,IL5,0,,,
794.0,ITGB2,Stim48hr,1,3.736,3.736,IL22,0,,,
795.0,BRD1,Stim8hr,1,3.735,3.735,IFNG,1,3.093,3.093,CTLA4
796.0,CAND1,Rest,1,3.729,3.729,LTA,0,,,
797.0,HAX1,Stim48hr,1,3.729,3.729,IL2RA,0,,,
798.0,RCOR1,Stim8hr,1,3.728,3.728,IL5,0,,,
799.0,PAK2,Stim8hr,1,3.726,3.726,IL4,0,,,
800.0,ALAS1,Stim8hr,1,3.724,3.724,IL2RA,0,,,
801.0,DAP,Stim48hr,1,3.723,3.723,IL3,1,4.35,4.35,CTLA4
802.0,TANK,Stim8hr,1,3.719,3.719,IL4,0,,,
803.0,IST1,Rest,1,3.714,3.714,LTA,0,,,
804.0,DEK,Stim48hr,1,3.712,3.712,IL2RA,0,,,
805.0,IMMP2L,Rest,1,3.711,3.711,TNF,0,,,
806.0,MBD3,Stim8hr,1,3.703,3.703,IL13,0,,,
807.0,PHF8,Stim48hr,1,3.699,3.699,IL2RA,0,,,
808.0,CUL3,Stim48hr,1,3.696,3.696,IL4,1,2.801,2.801,IFNG
809.0,NCOA5,Stim48hr,1,3.695,3.695,IL2RA,0,,,
810.0,ATP5F1A,Stim8hr,1,3.688,3.688,IL22,0,,,
811.0,COA3,Stim48hr,1,3.688,3.688,IL2,1,3.561,3.561,LTA
812.0,PTEN,Rest,1,3.685,3.685,LTA,0,,,
813.0,RNF8,Stim48hr,1,3.685,3.685,IL3,0,,,
814.0,BCORL1,Stim48hr,1,3.68,3.68,IL3,0,,,
815.0,ABCC1,Stim48hr,1,3.676,3.676,IL3,0,,,
816.0,TMEM216,Stim48hr,1,3.675,3.675,IL3,0,,,
817.0,ZNF644,Stim48hr,1,3.668,3.668,IL2,0,,,
818.0,SNU13,Stim48hr,1,3.667,3.667,IL3,0,,,
819.0,ATF4,Stim48hr,1,3.665,3.665,IL5,0,,,
820.0,TTYH3,Stim8hr,1,3.664,3.664,IL3,0,,,
821.0,SOD2,Stim8hr,1,3.663,3.663,IL5,0,,,
822.0,DPY19L3,Stim48hr,1,3.659,3.659,IL2RA,1,3.595,3.595,CTLA4
823.0,CCDC6,Stim8hr,1,3.658,3.658,IL22,0,,,
824.0,LPCAT3,Stim8hr,1,3.658,3.658,IL22,0,,,
825.0,RIDA,Stim8hr,1,3.656,3.656,IL5,0,,,
826.0,RAB14,Stim48hr,1,3.652,3.652,IL2,0,,,
827.0,TBP,Stim8hr,1,3.651,3.651,IL2,0,,,
828.0,KLF16,Stim8hr,1,3.65,3.65,IL5,0,,,
829.0,PRELID1,Stim48hr,1,3.643,3.643,IFNG,0,,,
830.0,RANBP3,Stim8hr,1,3.643,3.643,IL5,0,,,
831.0,SIK3,Rest,1,3.643,3.643,LTA,2,7.551,4.416,"CSF2,IL2RA"
832.0,BZW2,Stim48hr,1,3.639,3.639,IL13,0,,,
833.0,CMTR1,Stim8hr,1,3.639,3.639,IL2RA,0,,,
834.0,RC3H1,Stim8hr,1,3.626,3.626,IL3,0,,,
835.0,POLG2,Stim8hr,1,3.624,3.624,IL22,0,,,
836.0,CHORDC1,Stim8hr,1,3.621,3.621,IL3,0,,,
837.0,KAT2B,Stim48hr,1,3.621,3.621,IL22,0,,,
838.0,PABIR1,Stim8hr,1,3.621,3.621,IL22,0,,,
839.0,DEF6,Stim8hr,1,3.617,3.617,LTA,0,,,
840.0,EIF4B,Stim48hr,1,3.617,3.617,IL3,0,,,
841.0,XRN1,Stim8hr,1,3.616,3.616,IL5,1,3.137,3.137,TNF
842.0,GGA3,Stim48hr,1,3.611,3.611,IL2,0,,,
843.0,MEN1,Stim8hr,1,3.608,3.608,IL22,0,,,
844.0,OTUD1,Stim8hr,1,3.607,3.607,IL5,3,13.142,5.664,"IFNG,IL2,IL3"
845.0,XIAP,Stim48hr,1,3.602,3.602,IL13,0,,,
846.0,CEP135,Stim8hr,1,3.599,3.599,IL22,0,,,
847.0,FAAP24,Stim8hr,1,3.598,3.598,IL2,1,3.793,3.793,IL10
848.0,MTPAP,Stim8hr,1,3.595,3.595,IL2RA,0,,,
849.0,EIF4G1,Rest,1,3.594,3.594,IL2RA,1,3.217,3.217,LTA
850.0,MED15,Stim8hr,1,3.594,3.594,IL5,1,3.448,3.448,IL2RA
851.0,PLEC,Stim48hr,1,3.592,3.592,IL22,0,,,
852.0,MLKL,Stim48hr,1,3.591,3.591,IL22,0,,,
853.0,LRRC8B,Stim48hr,1,3.585,3.585,IL2,0,,,
854.0,PIK3R4,Stim8hr,1,3.58,3.58,IL2RA,1,3.403,3.403,CSF2
855.0,NRAS,Stim8hr,1,3.579,3.579,IL5,0,,,
856.0,RHOF,Stim8hr,1,3.576,3.576,IL22,0,,,
857.0,GTF2H5,Stim8hr,1,3.575,3.575,IL22,1,3.219,3.219,IL2RA
858.0,SRP9,Stim8hr,1,3.574,3.574,IL2RA,1,3.49,3.49,CSF2
859.0,ITPR1,Stim48hr,1,3.572,3.572,IL2RA,0,,,
860.0,UQCRC2,Stim8hr,1,3.566,3.566,IL5,0,,,
861.0,ARHGAP30,Stim48hr,1,3.565,3.565,IL2RA,1,3.54,3.54,IL10
862.0,PPP1R13L,Stim8hr,1,3.564,3.564,IL22,0,,,
863.0,ADHFE1,Stim48hr,1,3.559,3.559,IL3,0,,,
864.0,TRAF6,Stim8hr,1,3.558,3.558,IL22,0,,,
865.0,B4GALT7,Rest,1,3.556,3.556,LTA,0,,,
866.0,DCAF4,Stim48hr,1,3.551,3.551,IL3,0,,,
867.0,SCAF8,Rest,1,3.551,3.551,IFNG,0,,,
868.0,STRAP,Stim8hr,1,3.547,3.547,IL5,0,,,
869.0,RBPJ,Stim48hr,1,3.545,3.545,IL5,0,,,
870.0,COLGALT1,Stim48hr,1,3.54,3.54,IL2,0,,,
871.0,FLAD1,Stim48hr,1,3.539,3.539,IL5,0,,,
872.0,RRAGA,Stim8hr,1,3.539,3.539,IL21,0,,,
873.0,TMED10,Stim48hr,1,3.538,3.538,IL13,0,,,
874.0,TRIM25,Stim8hr,1,3.537,3.537,IL22,0,,,
875.0,TIPARP,Stim48hr,1,3.53,3.53,IL21,0,,,
876.0,HOXB4,Stim8hr,1,3.527,3.527,IL4,0,,,
877.0,RBM27,Stim48hr,1,3.526,3.526,IL4,1,4.166,4.166,CSF2
878.0,MLLT3,Stim8hr,1,3.525,3.525,LTA,0,,,
879.0,SMARCC1,Stim8hr,1,3.519,3.519,IL13,0,,,
880.0,SPTLC2,Stim48hr,1,3.515,3.515,IL2,0,,,
881.0,NSD2,Stim8hr,1,3.514,3.514,IL5,1,3.234,3.234,IFNG
882.0,PRSS21,Stim48hr,1,3.514,3.514,IL3,0,,,
883.0,PGAM1,Stim48hr,1,3.512,3.512,IL2,0,,,
884.0,TPD52,Stim8hr,1,3.51,3.51,IL2RA,0,,,
885.0,STAT6,Stim48hr,1,3.508,3.508,IL3,5,19.183,4.919,"CSF2,IFNG,IL13,IL21,IL2RA"
886.0,TRMT61A,Stim8hr,1,3.508,3.508,IL5,0,,,
887.0,MTRES1,Stim8hr,1,3.504,3.504,IL2,0,,,
888.0,ATXN2L,Stim48hr,1,3.502,3.502,IL22,0,,,
889.0,PHIP,Stim48hr,1,3.502,3.502,IL3,0,,,
890.0,MED23,Stim8hr,1,3.5,3.5,LTA,2,9.021999999999998,5.01,"IL10,IL2RA"
891.0,RTRAF,Stim48hr,1,3.499,3.499,LTA,0,,,
892.0,SEC63,Stim8hr,1,3.492,3.492,IL3,0,,,
893.0,COQ6,Stim48hr,1,3.491,3.491,IL4,0,,,
894.0,GLS,Stim48hr,1,3.489,3.489,IL4,0,,,
895.0,PPAT,Stim8hr,1,3.489,3.489,IL5,0,,,
896.0,PCNX3,Rest,1,3.488,3.488,IL2RA,0,,,
897.0,LRIG1,Stim8hr,1,3.487,3.487,CSF2,0,,,
898.0,IFT172,Stim48hr,1,3.484,3.484,IL22,0,,,
899.0,HIPK1,Stim8hr,1,3.482,3.482,IL5,0,,,
900.0,EIF3H,Stim48hr,1,3.477,3.477,IL3,0,,,
901.0,FAF2,Stim8hr,1,3.475,3.475,IL2RA,1,3.39,3.39,IFNG
902.0,WAS,Stim48hr,1,3.469,3.469,IFNG,0,,,
903.0,BRPF1,Stim8hr,1,3.46,3.46,IL3,1,2.84,2.84,IL2RA
904.0,CENPE,Stim48hr,1,3.456,3.456,LTA,0,,,
905.0,ERCC4,Stim8hr,1,3.454,3.454,IL22,1,4.85,4.85,IL10
906.0,COP1,Stim8hr,1,3.453,3.453,LTA,0,,,
907.0,LSM14A,Stim48hr,1,3.453,3.453,IL4,0,,,
908.0,ZBTB17,Stim8hr,1,3.451,3.451,IL22,0,,,
909.0,PRORP,Stim48hr,1,3.45,3.45,IL3,0,,,
910.0,ZNF641,Stim48hr,1,3.449,3.449,IL3,0,,,
911.0,COX4I1,Stim48hr,1,3.446,3.446,IL3,0,,,
912.0,VPS41,Stim8hr,1,3.446,3.446,IL3,1,3.732,3.732,IL10
913.0,KRCC1,Stim8hr,1,3.437,3.437,IFNG,0,,,
914.0,PCYT2,Stim8hr,1,3.435,3.435,IL22,1,3.742,3.742,CSF2
915.0,CREBBP,Rest,1,3.433,3.433,TNF,0,,,
916.0,NDUFB2,Stim48hr,1,3.433,3.433,IL5,0,,,
917.0,HMBS,Stim8hr,1,3.43,3.43,IL13,2,6.228,3.365,"LTA,TNF"
918.0,PHF12,Stim48hr,1,3.43,3.43,LTA,0,,,
919.0,CYP4V2,Stim48hr,1,3.428,3.428,IL2RA,0,,,
920.0,CCDC22,Stim48hr,1,3.425,3.425,IL22,1,3.421,3.421,IL4
921.0,MCTS1,Stim48hr,1,3.424,3.424,IL2,1,2.783,2.783,IL2RA
922.0,MOV10,Stim8hr,1,3.423,3.423,IL3,0,,,
923.0,LAMTOR3,Stim8hr,1,3.417,3.417,IL3,0,,,
924.0,CBLL1,Stim8hr,1,3.416,3.416,IL2,1,3.129,3.129,IL10
925.0,GLRX3,Stim8hr,1,3.416,3.416,LTA,0,,,
926.0,SAP30,Stim48hr,1,3.411,3.411,IL2,0,,,
927.0,TSTD2,Stim8hr,1,3.411,3.411,IL22,0,,,
928.0,COX17,Stim8hr,1,3.399,3.399,IL2RA,0,,,
929.0,RCN1,Stim8hr,1,3.396,3.396,IL5,0,,,
930.0,CNOT10,Stim48hr,1,3.392,3.392,CSF2,0,,,
931.0,SMARCD1,Stim48hr,1,3.392,3.392,IL2,0,,,
932.0,SNRPB2,Stim48hr,1,3.389,3.389,IL5,1,3.69,3.69,CSF2
933.0,MDM4,Stim48hr,1,3.388,3.388,IL3,0,,,
934.0,FOSL2,Stim48hr,1,3.387,3.387,IL4,1,3.827,3.827,CTLA4
935.0,GALNT6,Stim8hr,1,3.384,3.384,LTA,0,,,
936.0,SRRD,Stim8hr,1,3.384,3.384,IL22,0,,,
937.0,LMLN,Stim48hr,1,3.38,3.38,LTA,0,,,
938.0,EGR3,Stim8hr,1,3.375,3.375,IL22,0,,,
939.0,TMEM234,Stim8hr,1,3.371,3.371,IL22,2,6.407,3.343,"CSF2,TNF"
940.0,NUP188,Stim48hr,1,3.369,3.369,IL5,0,,,
941.0,UBA2,Rest,1,3.368,3.368,IL2RA,0,,,
942.0,PPIH,Stim48hr,1,3.365,3.365,IL13,0,,,
943.0,PKN3,Stim48hr,1,3.361,3.361,IL21,0,,,
944.0,NGLY1,Stim48hr,1,3.357,3.357,IL5,0,,,
945.0,PAIP1,Stim8hr,1,3.351,3.351,LTA,0,,,
946.0,STRAP,Rest,1,3.35,3.35,IFNG,0,,,
947.0,DENR,Stim48hr,1,3.349,3.349,IL2,2,7.084,4.428,"CTLA4,IL2RA"
948.0,OGT,Stim8hr,1,3.347,3.347,IL3,0,,,
949.0,TFAP4,Stim48hr,1,3.347,3.347,IL5,0,,,
950.0,SYVN1,Stim8hr,1,3.344,3.344,IL3,0,,,
951.0,TTC7A,Stim8hr,1,3.342,3.342,IL3,0,,,
952.0,OTUB1,Stim48hr,1,3.339,3.339,IL2,0,,,
953.0,ATM,Stim48hr,1,3.329,3.329,IL4,0,,,
954.0,P4HB,Stim48hr,1,3.329,3.329,IL2,0,,,
955.0,RHOF,Rest,1,3.329,3.329,LTA,0,,,
956.0,IST1,Stim8hr,1,3.327,3.327,IL2RA,2,6.396,3.294,"IL2,TNF"
957.0,SP2,Stim48hr,1,3.327,3.327,IL2,0,,,
958.0,PTEN,Stim48hr,1,3.307,3.307,IL22,0,,,
959.0,SLF1,Stim8hr,1,3.306,3.306,IFNG,0,,,
960.0,RPN1,Stim8hr,1,3.305,3.305,LTA,0,,,
961.0,IMMT,Rest,1,3.304,3.304,IL2RA,0,,,
962.0,NCAPD3,Stim48hr,1,3.3,3.3,IL2,0,,,
963.0,PFDN4,Stim48hr,1,3.3,3.3,IL3,1,5.674,5.674,CTLA4
964.0,PIK3CD,Stim48hr,1,3.299,3.299,LTA,0,,,
965.0,MYH9,Rest,1,3.293,3.293,TNF,1,4.679,4.679,IL2RA
966.0,RAB21,Stim48hr,1,3.293,3.293,IL3,0,,,
967.0,BTAF1,Stim8hr,1,3.292,3.292,IL5,1,6.98,6.98,IL2RA
968.0,UBE3D,Stim8hr,1,3.275,3.275,LTA,0,,,
969.0,MYC,Stim8hr,1,3.273,3.273,IL5,4,14.343,4.706,"CSF2,IFNG,IL2,TNF"
970.0,UBE2H,Stim8hr,1,3.269,3.269,IL2,0,,,
971.0,USP24,Stim48hr,1,3.269,3.269,LTA,0,,,
972.0,WAPL,Stim48hr,1,3.265,3.265,IL3,0,,,
973.0,DGKZ,Stim48hr,1,3.264,3.264,IL13,0,,,
974.0,GIGYF2,Stim48hr,1,3.26,3.26,IL13,0,,,
975.0,SBDS,Stim48hr,1,3.259,3.259,IL5,0,,,
976.0,BRD1,Stim48hr,1,3.249,3.249,IL2RA,0,,,
977.0,RNASEH2A,Stim48hr,1,3.242,3.242,LTA,1,3.56,3.56,IL3
978.0,PAGR1,Stim8hr,1,3.24,3.24,LTA,0,,,
979.0,SZRD1,Stim48hr,1,3.238,3.238,LTA,0,,,
980.0,SOCS3,Stim8hr,1,3.235,3.235,IL22,2,7.103,3.765,"LTA,TNF"
981.0,UQCRC2,Stim48hr,1,3.23,3.23,IL3,0,,,
982.0,DLD,Stim8hr,1,3.228,3.228,IL22,0,,,
983.0,HSPA14,Stim8hr,1,3.222,3.222,IL5,0,,,
984.0,SRR,Stim8hr,1,3.221,3.221,IL5,0,,,
985.0,ALG3,Stim8hr,1,3.217,3.217,IL5,1,3.49,3.49,IL10
986.0,LARS2,Stim8hr,1,3.216,3.216,IL5,0,,,
