gene,ensg,n_directions,biotype,protein_class,sm_tractable,ab_tractable,best_sm_bucket,has_clinical_drug,n_known_drugs,known_drug_moa,novel_druggable,n_assoc_diseases,chembl_pref_name,chembl_target_id
CD28,ENSG00000178562,3,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,True,2,T-cell-specific surface glycoprotein CD28 antagonist [ANTAGONIST]; T-cell-specific surface glycoprotein CD28 agonist [AGONIST],False,985,T-cell-specific surface glycoprotein CD28,CHEMBL5191
CD3E,ENSG00000198851,3,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,True,22,T-cell surface glycoprotein CD3 epsilon chain binding agent [BINDING AGENT]; T-cell surface glycoprotein CD3 epsilon chain other [OTHER]; T-cell surface glycoprotein CD3 epsilon chain inhibitor [INHIBITOR]; T-cell surface glycoprotein CD3 epsilon chain cross-linking agent [CROSS-LINKING AGENT],False,403,T-cell surface glycoprotein CD3 epsilon chain,CHEMBL1975
GTF3C6,ENSG00000155115,3,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,21,,
IL2RB,ENSG00000100385,3,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,True,10,Interleukin-2 receptor beta chain inhibitor [INHIBITOR],False,684,Interleukin-2 receptor subunit beta,CHEMBL3276
IL4R,ENSG00000077238,3,protein_coding,SINGLE PROTEIN,False,True,,True,2,Interleukin-4 receptor subunit alpha antagonist [ANTAGONIST],False,754,Interleukin-4 receptor subunit alpha,CHEMBL3580490
INPP5D,ENSG00000168918,3,protein_coding,SINGLE PROTEIN,True,True,Advanced Clinical,True,1,"Phosphatidylinositol-3,4,5-trisphosphate 5-phosphatase 1 activator [ACTIVATOR]",False,944,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1",CHEMBL1781870
ITK,ENSG00000113263,3,protein_coding,SINGLE PROTEIN,True,True,Approved Drug,True,4,Tyrosine-protein kinase ITK/TSK inhibitor [INHIBITOR],False,690,Tyrosine-protein kinase ITK/TSK,CHEMBL2959
KDM1A,ENSG00000004487,3,protein_coding,SINGLE PROTEIN,True,False,Advanced Clinical,True,1,Lysine-specific histone demethylase 1 inhibitor [INHIBITOR],False,705,Lysine-specific histone demethylase 1A,CHEMBL6136
LEO1,ENSG00000166477,3,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,71,RNA polymerase-associated protein LEO1,CHEMBL5724636
MALT1,ENSG00000172175,3,protein_coding,SINGLE PROTEIN,True,False,Approved Drug,True,1,Mucosa-associated lymphoid tissue lymphoma translocation protein 1 inhibitor [INHIBITOR],False,409,Mucosa-associated lymphoid tissue lymphoma translocation protein 1,CHEMBL3632452
MED12,ENSG00000184634,3,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,482,Mediator of RNA polymerase II transcription subunit 12,CHEMBL5724623
MEN1,ENSG00000133895,3,protein_coding,SINGLE PROTEIN,True,False,Phase 1 Clinical,True,3,Menin inhibitor [INHIBITOR],False,1023,Menin,CHEMBL1615381
MTA2,ENSG00000149480,3,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,457,Metastasis-associated protein MTA2,CHEMBL5724628
NDUFAF3,ENSG00000178057,3,protein_coding,PROTEIN COMPLEX,True,False,Approved Drug,True,3,Mitochondrial complex I (NADH dehydrogenase) inhibitor [INHIBITOR],False,290,Mitochondrial complex I (NADH dehydrogenase),CHEMBL2363065
RNF20,ENSG00000155827,3,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,257,,
SUPT20H,ENSG00000102710,3,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,129,,
TADA1,ENSG00000152382,3,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,339,,
TADA2B,ENSG00000173011,3,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,37,,
TAF6L,ENSG00000162227,3,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,19,,
UBXN1,ENSG00000162191,3,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,56,UBX domain-containing protein 1,CHEMBL6067134
WAC,ENSG00000095787,3,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,167,,
ACLY,ENSG00000131473,2,protein_coding,SINGLE PROTEIN,True,True,Approved Drug,True,1,ATP-citrate synthase inhibitor [INHIBITOR],False,663,ATP-citrate synthase,CHEMBL3720
AHR,ENSG00000106546,2,protein_coding,SINGLE PROTEIN,True,False,Approved Drug,True,1,Aryl hydrocarbon receptor agonist [AGONIST],False,3204,Aryl hydrocarbon receptor,CHEMBL3201
ANP32B,ENSG00000136938,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,864,Acidic leucine-rich nuclear phosphoprotein 32 family member B,CHEMBL4295917
ARID4B,ENSG00000054267,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,284,,
ATF7IP2,ENSG00000166669,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,102,,
BAP1,ENSG00000163930,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,604,Ubiquitin carboxyl-terminal hydrolase BAP1,CHEMBL1293314
BATF,ENSG00000156127,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,230,,
BTAF1,ENSG00000095564,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,57,,
C18orf32,ENSG00000177576,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,23,,
CARS2,ENSG00000134905,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,243,,
CCDC22,ENSG00000101997,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,69,Coiled-coil domain-containing protein 22,CHEMBL6066516
CD3G,ENSG00000160654,2,protein_coding,PROTEIN COMPLEX,True,True,Structure with Ligand,True,16,T cell surface glycoprotein CD3 inhibitor [INHIBITOR]; T cell surface glycoprotein CD3 cross-linking agent [CROSS-LINKING AGENT],False,263,T cell surface glycoprotein CD3,CHEMBL2364168
CEP135,ENSG00000174799,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,743,,
COASY,ENSG00000068120,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,128,Bifunctional coenzyme A synthase,CHEMBL4105867
COMMD5,ENSG00000170619,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,43,,
COMMD7,ENSG00000149600,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,74,,
COX19,ENSG00000240230,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,37,,
CREBBP,ENSG00000005339,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,1,,False,2727,CREB-binding protein,CHEMBL5747
CROT,ENSG00000005469,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,92,Peroxisomal carnitine O-octanoyltransferase,CHEMBL2206
CXXC1,ENSG00000154832,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,83,CXXC-type zinc finger protein 1,CHEMBL5169201
DHX30,ENSG00000132153,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,260,ATP-dependent RNA helicase DHX30,CHEMBL4105814
DHX36,ENSG00000174953,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,135,ATP-dependent DNA/RNA helicase DHX36,CHEMBL2040704
DNTTIP1,ENSG00000101457,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,109,,
DPH5,ENSG00000117543,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,46,,
E2F4,ENSG00000205250,2,protein_coding,PROTEIN FAMILY,False,False,,False,1,E2F inhibitor [INHIBITOR],False,384,E2F,CHEMBL4630726
ECSIT,ENSG00000130159,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,195,,
EGR2,ENSG00000122877,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,3892,,
EIF4G2,ENSG00000110321,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,254,Eukaryotic translation initiation factor 4 gamma 2,CHEMBL6067400
FAM204A,ENSG00000165669,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,39,,
FBXO32,ENSG00000156804,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,313,,
FNBP4,ENSG00000109920,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,83,,
GABPB1,ENSG00000104064,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,449,,
GATA3,ENSG00000107485,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,4855,,
GPT2,ENSG00000166123,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,179,,
GRSF1,ENSG00000132463,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,83,,
GTF3C5,ENSG00000148308,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,29,General transcription factor 3C polypeptide 5,CHEMBL6067392
HCCS,ENSG00000004961,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,127,Holocytochrome c-type synthase,CHEMBL6066869
HEATR3,ENSG00000155393,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,80,,
HMGXB3,ENSG00000113716,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,39,,
HNRNPM,ENSG00000099783,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,203,Heterogeneous nuclear ribonucleoprotein M,CHEMBL5291610
IFNGR1,ENSG00000027697,2,protein_coding,PROTEIN COMPLEX,True,True,Structure with Ligand,False,1,Interferon gamma receptor agonist [AGONIST],False,1004,Interferon gamma receptor,CHEMBL2364171
IL2RA,ENSG00000134460,2,protein_coding,SINGLE PROTEIN,False,True,,True,7,Interleukin-2 receptor alpha chain antagonist [ANTAGONIST]; Interleukin-2 receptor alpha chain binding agent [BINDING AGENT],False,1469,Interleukin-2 receptor subunit alpha,CHEMBL1778
IMPDH2,ENSG00000178035,2,protein_coding,SINGLE PROTEIN,True,True,Approved Drug,True,7,,False,335,Inosine-5'-monophosphate dehydrogenase 2,CHEMBL2002
INTS10,ENSG00000104613,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,215,,
INTS14,ENSG00000138614,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,42,,
INTS15,ENSG00000146576,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,1675,,
IRF2BP1,ENSG00000170604,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,35,,
IRF8,ENSG00000140968,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,682,,
JUNB,ENSG00000171223,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,558,,
LBH,ENSG00000213626,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,198,,
LCK,ENSG00000182866,2,protein_coding,SINGLE PROTEIN,True,True,Approved Drug,True,8,Tyrosine-protein kinase LCK inhibitor [INHIBITOR],False,553,Tyrosine-protein kinase Lck,CHEMBL258
MIPEP,ENSG00000027001,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,76,,
MTX2,ENSG00000128654,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,107,Metaxin-2,CHEMBL6066373
NAB2,ENSG00000166886,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,225,,
NAF1,ENSG00000145414,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,126,H/ACA ribonucleoprotein complex non-core subunit NAF1,CHEMBL5724617
NCAPG2,ENSG00000146918,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,118,,
NDUFA9,ENSG00000139180,2,protein_coding,PROTEIN COMPLEX,True,False,Approved Drug,True,3,Mitochondrial complex I (NADH dehydrogenase) inhibitor [INHIBITOR],False,327,Mitochondrial complex I (NADH dehydrogenase),CHEMBL2363065
NFKB1,ENSG00000109320,2,protein_coding,SINGLE PROTEIN,True,True,Advanced Clinical,True,1,,False,2909,Nuclear factor NF-kappa-B p105 subunit,CHEMBL3251
NFKB2,ENSG00000077150,2,protein_coding,SINGLE PROTEIN,True,False,Advanced Clinical,True,1,,False,819,Nuclear factor NF-kappa-B p100 subunit,CHEMBL3003
NFRKB,ENSG00000170322,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,58,Nuclear factor related to kappa-B-binding protein,CHEMBL5725193
NXT1,ENSG00000132661,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,37,,
PARP2,ENSG00000129484,2,protein_coding,SINGLE PROTEIN,True,False,Approved Drug,True,12,Poly [ADP-ribose] polymerase 2 inhibitor [INHIBITOR],False,478,Poly [ADP-ribose] polymerase 2,CHEMBL5366
PCGF1,ENSG00000115289,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,373,,
PDSS2,ENSG00000164494,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,653,,
PMVK,ENSG00000163344,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,82,,
PPP1R14B,ENSG00000173457,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,78,,
PTPRC,ENSG00000081237,2,protein_coding,SINGLE PROTEIN,True,True,High-Quality Ligand,True,2,Leukocyte common antigen binding agent [BINDING AGENT],False,1727,Receptor-type tyrosine-protein phosphatase C,CHEMBL3243
QRSL1,ENSG00000130348,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,265,,
RBCK1,ENSG00000125826,2,protein_coding,PROTEIN COMPLEX,False,False,,False,0,,False,169,Sharpin/RBCK1/RNF31,CHEMBL4296109
RPRD2,ENSG00000163125,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,62,Regulation of nuclear pre-mRNA domain-containing protein 2,CHEMBL5725129
RTRAF,ENSG00000087302,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,258,"RNA transcription, translation and transport factor protein",CHEMBL6067445
SCAF4,ENSG00000156304,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,71,,
SEC14L1,ENSG00000129657,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,80,,
SMG7,ENSG00000116698,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,78,Nonsense-mediated mRNA decay factor SMG7,CHEMBL5465340
SPAG7,ENSG00000091640,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,86,,
STAT3,ENSG00000168610,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,1,,False,1976,Signal transducer and activator of transcription 3,CHEMBL4026
STRAP,ENSG00000023734,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,114,Serine-threonine kinase receptor-associated protein,CHEMBL6067330
TBX21,ENSG00000073861,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,512,,
TFAP4,ENSG00000090447,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,145,,
TFG,ENSG00000114354,2,protein_coding,CHIMERIC PROTEIN,False,False,,False,0,,False,286,ALK-TFG,CHEMBL5465388
THAP11,ENSG00000168286,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,288,,
TNRC6A,ENSG00000090905,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,131,,
TRAF3,ENSG00000131323,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,371,,
UBE2F,ENSG00000184182,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,73,NEDD8-conjugating enzyme UBE2F,CHEMBL4523422
UFL1,ENSG00000014123,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,197,E3 UFM1-protein ligase 1,CHEMBL6066996
USP22,ENSG00000124422,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,226,Ubiquitin carboxyl-terminal hydrolase 22,CHEMBL5291597
UTP23,ENSG00000147679,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,64,,
VPS8,ENSG00000156931,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,46,,
WAPL,ENSG00000062650,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,73,Wings apart-like protein homolog,CHEMBL5725044
WDR24,ENSG00000127580,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,32,,
WDR59,ENSG00000103091,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,54,,
WDR82,ENSG00000164091,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,59,WD repeat-containing protein 82,CHEMBL5724608
ZBTB14,ENSG00000198081,2,protein_coding,SINGLE PROTEIN,False,False,,False,0,,False,296,Zinc finger and BTB domain-containing protein 14,CHEMBL5069377
ZC3H10,ENSG00000135482,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,19,,
ZMYM2,ENSG00000121741,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,528,,
ZNF613,ENSG00000176024,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,12,,
ZNF649,ENSG00000198093,2,protein_coding,(inferred:protein_coding),False,False,,False,0,,False,18,,
