gene,ensg,n_directions,biotype,protein_class,sm_tractable,ab_tractable,best_sm_bucket,has_clinical_drug,n_known_drugs,known_drug_moa,novel_druggable,n_assoc_diseases,chembl_pref_name,chembl_target_id
AP2A1,ENSG00000196961,2,protein_coding,SINGLE PROTEIN,False,True,,False,0,,True,65,AP-2 complex subunit alpha-1,CHEMBL4295687
APC,ENSG00000134982,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,2152,Adenomatous polyposis coli protein,CHEMBL3233
ARPC1B,ENSG00000130429,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,485,Actin-related protein 2/3 complex subunit 1B,CHEMBL4295656
ATAD3A,ENSG00000197785,2,protein_coding,SINGLE PROTEIN,False,True,,False,0,,True,183,ATPase family AAA domain-containing protein 3A,CHEMBL6067382
ATAD5,ENSG00000176208,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,139,ATPase family AAA domain-containing protein 5,CHEMBL1741209
ATG14,ENSG00000126775,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,451,Beclin 1-associated autophagy-related key regulator,CHEMBL6196106
ATP5F1A,ENSG00000152234,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,232,"ATP synthase F(1) complex subunit alpha, mitochondrial",CHEMBL2062351
ATXN7L3,ENSG00000087152,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,770,,
BRPF1,ENSG00000156983,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,154,Peregrin,CHEMBL3132741
CAMK1,ENSG00000134072,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,654,Calcium/calmodulin-dependent protein kinase type 1,CHEMBL2493
CBFB,ENSG00000067955,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,2915,Core-binding factor subunit beta,CHEMBL1615386
CBLB,ENSG00000114423,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,414,E3 ubiquitin-protein ligase CBL-B,CHEMBL4879459
CCDC12,ENSG00000160799,2,protein_coding,(inferred:protein_coding),True,False,Structure with Ligand,False,0,,True,52,,
CCDC134,ENSG00000100147,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,201,,
CCNT1,ENSG00000129315,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,151,Cyclin-T1,CHEMBL2108
CDC25B,ENSG00000101224,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,214,M-phase inducer phosphatase 2,CHEMBL4804
CLPB,ENSG00000162129,2,protein_coding,(inferred:protein_coding),True,False,Structure with Ligand,False,0,,True,182,,
COG6,ENSG00000133103,2,protein_coding,SINGLE PROTEIN,False,True,,False,0,,True,372,Conserved oligomeric Golgi complex subunit 6,CHEMBL4105962
COX6C,ENSG00000164919,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,167,Cytochrome c oxidase subunit 6C,CHEMBL6066369
CSDE1,ENSG00000009307,2,protein_coding,SINGLE PROTEIN,False,True,,False,0,,True,125,Cold shock domain-containing protein E1,CHEMBL6067007
CTPS1,ENSG00000171793,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,171,CTP synthase 1,CHEMBL5291523
CYCS,ENSG00000172115,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,1909,Cytochrome c,CHEMBL2189163
DCK,ENSG00000156136,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,278,Deoxycytidine kinase,CHEMBL2447
DDX39B,ENSG00000198563,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,115,Spliceosome RNA helicase DDX39B,CHEMBL6066325
DENR,ENSG00000139726,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,75,Density-regulated protein,CHEMBL5724775
DIS3L,ENSG00000166938,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,69,,
DLAT,ENSG00000150768,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,300,"Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial",CHEMBL4523180
DNAAF2,ENSG00000165506,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,593,,
DOHH,ENSG00000129932,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,65,Deoxyhypusine hydroxylase,CHEMBL4523441
DOLPP1,ENSG00000167130,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,21,,
DOP1B,ENSG00000142197,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,64,,
EFR3A,ENSG00000132294,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,80,,
ELAVL1,ENSG00000066044,2,protein_coding,SINGLE PROTEIN,True,False,High-Quality Ligand,False,0,,True,562,ELAV-like protein 1,CHEMBL1250379
ENO1,ENSG00000074800,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,532,Alpha-enolase,CHEMBL3298
EPB41L3,ENSG00000082397,2,protein_coding,(inferred:protein_coding),True,True,Structure with Ligand,False,0,,True,391,,
FANCL,ENSG00000115392,2,protein_coding,(inferred:protein_coding),True,False,Structure with Ligand,False,0,,True,421,,
FLCN,ENSG00000154803,2,protein_coding,(inferred:protein_coding),True,True,Structure with Ligand,False,0,,True,493,,
FZD6,ENSG00000164930,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,252,,
GAB2,ENSG00000033327,2,protein_coding,(inferred:protein_coding),True,True,Structure with Ligand,False,0,,True,519,,
GET1,ENSG00000182093,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,53,,
GJC1,ENSG00000182963,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,232,,
GNE,ENSG00000159921,2,protein_coding,SINGLE PROTEIN,True,False,Structure with Ligand,False,0,,True,1285,Bifunctional UDP-N-acetylglucosamine 2-epimerase/N-acetylmannosamine kinase,CHEMBL4523504
GNG5,ENSG00000174021,2,protein_coding,(inferred:protein_coding),False,True,,False,0,,True,167,,
GNPNAT1,ENSG00000100522,2,protein_coding,(inferred:protein_coding),True,True,Structure with Ligand,False,0,,True,96,,
GOLT1B,ENSG00000111711,2,protein_coding,SINGLE PROTEIN,False,True,,False,0,,True,104,Vesicle transport protein GOT1B,CHEMBL6066348
GPI,ENSG00000105220,2,protein_coding,SINGLE PROTEIN,True,True,Structure with Ligand,False,0,,True,613,Glucose-6-phosphate isomerase,CHEMBL4295702
