gene,ensg,n_directions,n_total_gwas,n_immune_assoc,min_immune_pvalue,immune_traits,example_study,has_genetic_support,n_immune_disease_assoc,dis_min_pvalue,disease_categories,max_neglog10_immune_p,dis_max_neglog10_p
CD28,ENSG00000178562,3,95,50,5e-26,"eosinophil count; Eosinophil count; rheumatoid arthritis; Rheumatoid arthritis; lymphocyte count; Lymphocyte count; Asthma; asthma; celiac disease; ulcerative colitis; Celiac disease; inflammatory bowel disease; Inflammatory bowel disease; eosinophil percentage of leukocytes; Crohn disease; Ulcerative colitis; Eosinophil percentage of white cells; ankylosing spondylitis; psoriasis; Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy); Celiac disease and Rheumatoid arthritis; Serum IgE levels; eosinophil (fraction, mean, inv-norm transformed); eosinophil (fraction, maximum, inv-norm transformed); eosinophil (absolute count, mean, inv-norm transformed); Autoimmune traits (pleiotropy); autoimmune disease; eosinophil (absolute count, maximum, inv-norm transformed); multiple sclerosis; Multiple sclerosis; Eczematoid dermatitis; Eczema; Rheumatoid arthritis (ACPA-positive); Type 1 diabetes; type 1 diabetes mellitus; systemic lupus erythematosus; Systemic lupus erythematosus; Crohn's disease",GCST90002302|PMID:32888493|Chen MH,True,29,1e-20,RA(9); IBD(7); other-autoimmune(6); asthma-allergy(6); psoriasis(1); MS(1); T1D(1); SLE(1),25.30102999566398,20.0
PTPRC,ENSG00000081237,2,217,80,1e-60,"lymphocyte count; eosinophil count; leukocyte quantity; Lymphocyte count; Asthma; asthma; Eosinophil count; systemic lupus erythematosus; eosinophil percentage of leukocytes; myeloid leukocyte count; Lymphocyte count (UKB data field 30120); lymphocyte percentage of leukocytes; Systemic lupus erythematosus; Crohn disease; Crohn's disease; Eosinophil percentage of white cells; eosinophil (fraction, maximum, inv-norm transformed); eosinophil (absolute count, mean, inv-norm transformed); Graves' disease; Graves disease; Lymphocyte percentage of white cells; adult onset asthma; Asthma (adult onset); inflammatory bowel disease; Inflammatory bowel disease; Systemic lupus erythematosus (MTAG); eosinophil (fraction, mean, inv-norm transformed); Platelet-to-lymphocyte ratio; platelet-to-lymphocyte ratio; Lymphocyte percentage (UKB data field 30180); eosinophil (absolute count, maximum, inv-norm transformed); eosinophil (absolute count, minimum, inv-norm transformed); Autoimmune hypothyroidism; autoimmune thyroid disease; Eosinophil percentage of granulocytes; eosinophil percentage of granulocytes; Sum eosinophil basophil counts; Type 1 diabetes; type 1 diabetes mellitus; Age of onset of adult onset asthma; age of onset of asthma; childhood onset asthma; Pediatric asthma; Vitiligo; vitiligo; rheumatoid arthritis; Rheumatoid arthritis",GCST90662906|PMID:40436827|Jee YH,True,28,2e-15,asthma-allergy(12); IBD(5); SLE(5); other-autoimmune(4); T1D(1); RA(1),60.0,14.698970004336019
LBH,ENSG00000213626,2,71,30,1e-20,rheumatoid arthritis; systemic lupus erythematosus; Systemic lupus erythematosus; Rheumatoid arthritis; eosinophil count; Eosinophil count; rheumatoid factor seropositivity measurement; Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive); Asthma; asthma; Systemic lupus erythematosus (MTAG); myeloid leukocyte count; leukocyte quantity; COVID-19 hospitalization or rheumatoid arthritis (MTAG); multiple sclerosis; Multiple sclerosis; Rheumatoid arthritis (ACPA-positive); Celiac disease or Rheumatoid arthritis; immune system disorder; Rheumatoid arthritis (MTAG); celiac disease; Celiac disease and Rheumatoid arthritis; ulcerative colitis; Ulcerative colitis (Tractor method with African ancestry),GCST011956|PMID:33272962|Yin X,True,26,1e-20,RA(14); SLE(8); asthma-allergy(2); MS(1); other-autoimmune(1); IBD(1),20.0,20.0
NFKB1,ENSG00000109320,2,121,47,1e-55,"eosinophil count; Eosinophil count; lymphocyte count; lymphocyte percentage of leukocytes; Lymphocyte percentage of white cells; ulcerative colitis; allergic rhinitis; Eczematoid dermatitis; systemic sclerosis; Systemic sclerosis; psoriasis; Lymphocyte count; myeloid leukocyte count; Ulcerative colitis; Graves' disease; Graves disease; leukocyte quantity; Eosinophil percentage of white cells; eosinophil percentage of leukocytes; allergic disease; Lymphocyte percentage (UKB data field 30180); neutrophil-to-lymphocyte ratio; Neutrophil-to-lymphocyte ratio; lymphocyte (fraction, maximum, inv-norm transformed); Crohn disease; ankylosing spondylitis; Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy); lymphocyte (fraction, mean, inv-norm transformed); Allergic rhinitis; lymphocyte (absolute count, maximum, inv-norm transformed); lymphocyte (absolute count, mean, inv-norm transformed); Lymphocyte side fluorescence distribution width; lymphocyte amount; Eczema; Allergic conjunctivitis; atopic conjunctivitis; Sum eosinophil basophil counts; Autoimmune hypothyroidism; autoimmune thyroid disease; Eosinophil percentage of granulocytes; eosinophil percentage of granulocytes; Inflammatory or infectious upper respiratory disease; Hay fever and/or eczema; Allergic disease (asthma, hay fever or eczema); asthma; Allergic disease (asthma, hay fever and/or eczema) (age of onset); Allergic disease (asthma, hay fever and/or eczema) (multivariate analysis); multiple sclerosis; Multiple sclerosis; Allergic sensitization; allergic sensitization measurement; Psoriasis",GCST90468083|PMID:39789286|Loya H,True,19,2e-18,asthma-allergy(8); other-autoimmune(7); IBD(3); psoriasis(2); MS(1),55.0,17.69897000433602
TRAF3,ENSG00000131323,2,226,36,2e-40,"lymphocyte count; Lymphocyte count; Eczematoid dermatitis; multiple sclerosis; atopic eczema; Atopic dermatitis; lymphocyte percentage of leukocytes; Multiple sclerosis; Eczema; allergic disease; Lymphocyte percentage of white cells; allergic rhinitis; Allergic disease (asthma, hay fever or eczema); asthma; eosinophil count; Lymphocyte count (UKB data field 30120); Lymphocyte percentage (UKB data field 30180); neutrophil-to-lymphocyte ratio; Neutrophil-to-lymphocyte ratio; lymphocyte amount; Hay fever and/or eczema; lymphocyte (absolute count, mean, inv-norm transformed); lymphocyte (absolute count, maximum, inv-norm transformed); eosinophil (absolute count, mean, inv-norm transformed); Allergic disease (asthma, hay fever and/or eczema) (multivariate analysis); Allergic disease (asthma, hay fever and/or eczema) (age of onset); childhood onset asthma; Asthma (childhood onset); systemic lupus erythematosus; Systemic lupus erythematosus (MTAG); Multiple sclerosis (MTAG); Asthma; Age of onset of childhood onset asthma; age of onset of childhood onset asthma; Eosinophil count; leukocyte quantity",GCST90002316|PMID:32888493|Chen MH,True,19,2.9999999999999998e-36,asthma-allergy(14); MS(4); SLE(1),39.69897000433602,35.52287874528034
TBX21,ENSG00000073861,2,79,19,2.9999999999999997e-47,asthma; Asthma; autoimmune thyroid disease; Autoimmune hypothyroidism; Autoimmune thyroid disease; lymphocyte count; Lymphocyte count; childhood onset asthma; Asthma (childhood onset); Asthma in any disease; atopic eczema; Atopic dermatitis; eosinophil count; Eosinophil count; Eczematoid dermatitis; Eczema; Age of onset of adult onset asthma; age of onset of asthma,GCST90837324|PMID:41748903|Reeve MP,True,16,2.9999999999999997e-47,asthma-allergy(12); other-autoimmune(4),46.52287874528034,46.52287874528034
SMG7,ENSG00000116698,2,45,17,3e-88,systemic lupus erythematosus; Systemic lupus erythematosus; celiac disease; rheumatoid arthritis; Celiac disease; systemic sclerosis; Systemic seropositive rheumatic diseases (Systemic sclerosis or systemic lupus erythematosus or rheumatoid arthritis or idiopathic inflammatory myopathies); Systemic lupus erythematosus (MTAG); Celiac disease and Rheumatoid arthritis; autoimmune disorder of musculoskeletal system; Lupus (localized and systemic) (PheCode 695.4); lymphocyte activation gene 3 protein level; lymphocyte amount,GCST003155|PMID:26502338|Bentham J,True,15,3e-88,SLE(13); other-autoimmune(4); RA(2),87.52287874528034,87.52287874528034
UBE2L3,ENSG00000185651,2,469,25,5e-62,"lymphocyte count; systemic lupus erythematosus; Lymphocyte count; Systemic lupus erythematosus; Crohn disease; inflammatory bowel disease; Inflammatory bowel disease; Crohn's disease; lymphocyte percentage of leukocytes; lymphocyte (fraction, maximum, inv-norm transformed); Lymphocyte count (UKB data field 30120); Systemic lupus erythematosus (MTAG); Lymphocyte percentage (UKB data field 30180); Lymphocyte percentage of white cells; lymphocyte amount; lymphocyte (fraction, mean, inv-norm transformed); ankylosing spondylitis; psoriasis; Chronic inflammatory diseases (ankylosing spondylitis, Crohn's disease, psoriasis, primary sclerosing cholangitis, ulcerative colitis) (pleiotropy); ulcerative colitis",GCST90002320|PMID:32888493|Chen MH,True,13,2e-45,IBD(7); SLE(6); other-autoimmune(1); psoriasis(1),61.30102999566398,44.69897000433602
MYC,ENSG00000136997,2,19,13,1e-23,"asthma; Asthma; childhood onset asthma; Asthma (childhood onset); Eczematoid dermatitis; allergic rhinitis; Eczema; Allergic disease (asthma, hay fever or eczema); Allergic conjunctivitis; atopic conjunctivitis; Hay fever and/or eczema; Age of onset of childhood onset asthma; age of onset of childhood onset asthma",GCST007800|PMID:30929738|Ferreira MAR,True,13,1e-23,asthma-allergy(13),23.0,23.0
MED24,ENSG00000008838,3,99,23,1e-300,Asthma and cardiovascular disease; asthma; leukocyte quantity; childhood onset asthma; Asthma (childhood onset); inflammatory biomarker measurement; Inflammatory markers and poor diet (confirmatory factor analysis Factor 30); Decreased total leukocyte count; Childhood asthma with severe exacerbations; asthma exacerbation measurement; level of lymphocyte-specific protein 1 in blood; eosinophil count; Eosinophil count,GCST90662906|PMID:40436827|Jee YH,True,12,3.0000000000000003e-30,asthma-allergy(12),385.15490195998575,29.522878745280337
BATF,ENSG00000156127,2,62,50,3e-72,"eosinophil count; Eosinophil count; lymphocyte count; Lymphocyte count; multiple sclerosis; rheumatoid arthritis; eosinophil percentage of leukocytes; Multiple sclerosis; leukocyte quantity; Rheumatoid arthritis; Eosinophil percentage of white cells; eosinophil (fraction, mean, inv-norm transformed); eosinophil (absolute count, mean, inv-norm transformed); lymphocyte percentage of leukocytes; rheumatoid factor seropositivity measurement; Rheumatoid arthritis (rheumatoid factor and/or anti-cyclic citrullinated peptide seropositive); Lymphocyte count (UKB data field 30120); eosinophil (fraction, maximum, inv-norm transformed); eosinophil (absolute count, maximum, inv-norm transformed); Lymphocyte percentage of white cells; Eosinophil percentage of granulocytes; eosinophil percentage of granulocytes; Lymphocyte percentage (UKB data field 30180); Sum eosinophil basophil counts; eosinophil (absolute count, minimum, inv-norm transformed); eosinophil (fraction, minimum, inv-norm transformed); lymphocyte amount; neutrophil-to-lymphocyte ratio; Neutrophil-to-lymphocyte ratio; atopic eczema; Atopic dermatitis; allergic disease; Allergic disease (asthma, hay fever or eczema); Multiple sclerosis (MTAG); Marginal zone lymphoma or multiple sclerosis",GCST90002302|PMID:32888493|Chen MH,True,12,6.000000000000001e-13,MS(5); RA(5); asthma-allergy(2),71.52287874528034,12.221848749616356
STAT5B,ENSG00000173757,2,56,20,5.000000000000001e-15,"eosinophil count; asthma; Asthma; Crohn disease; eosinophil (fraction, mean, inv-norm transformed); eosinophil (absolute count, mean, inv-norm transformed); Crohn's disease; eosinophil (fraction, maximum, inv-norm transformed); Asthma or irritable bowel syndrome (MTAG); lymphocyte percentage of leukocytes; Lymphocyte percentage of white cells; allergic disease; Allergic disease (asthma, hay fever or eczema); childhood onset asthma; Asthma (childhood onset); lymphocyte count; Lymphocyte count; atopic eczema; Atopic dermatitis; Eosinophil count; Crohn's disease x sex interaction (2df)",GCST90475299|PMID:39024449|Verma A,True,12,6e-14,asthma-allergy(9); IBD(3),14.301029995663981,13.221848749616356
