gene,ensg,n_directions,in_cytokine,in_polarization,in_context,in_network
CAPZA1,ENSG00000116489,1,False,False,True,False
CARD11,ENSG00000198286,1,True,False,False,False
CARD6,ENSG00000132357,1,True,False,False,False
CARMIL2,ENSG00000159753,3,True,False,True,True
CARS2,ENSG00000134905,2,True,False,True,False
CASC3,ENSG00000108349,1,True,False,False,False
CASK,ENSG00000147044,1,True,False,False,False
CBFB,ENSG00000067955,2,True,True,False,False
CBLB,ENSG00000114423,2,True,False,True,False
CBLL1,ENSG00000105879,1,True,False,False,False
CBX3,ENSG00000122565,1,False,False,True,False
CCAR1,ENSG00000060339,1,True,False,False,False
CCDC12,ENSG00000160799,2,True,False,True,False
CCDC134,ENSG00000100147,2,True,False,True,False
CCDC136,ENSG00000128596,1,False,False,True,False
CCDC22,ENSG00000101997,2,True,True,False,False
CCDC59,ENSG00000133773,1,False,False,True,False
CCDC9,ENSG00000105321,1,False,True,False,False
CCDC90B,ENSG00000137500,1,False,False,True,False
CCNC,ENSG00000112237,3,True,True,False,True
CCND3,ENSG00000112576,1,False,False,True,False
CCNQ,ENSG00000262919,1,True,False,False,False
CCNT1,ENSG00000129315,2,True,False,True,False
CCR4,ENSG00000183813,1,True,False,False,False
CCS,ENSG00000173992,1,True,False,False,False
CD2,ENSG00000116824,3,True,True,True,False
CD247,ENSG00000198821,3,True,False,True,True
CD28,ENSG00000178562,3,True,False,True,True
CD3E,ENSG00000198851,3,True,False,True,True
CD3G,ENSG00000160654,2,True,False,True,False
CD5,ENSG00000110448,1,False,False,True,False
CD7,ENSG00000173762,1,True,False,False,False
CD99L2,ENSG00000102181,1,False,False,True,False
CDC25B,ENSG00000101224,2,True,True,False,False
CDIPT,ENSG00000103502,1,False,False,True,False
CDK2,ENSG00000123374,1,False,False,True,False
CDYL,ENSG00000153046,1,False,False,True,False
CENPE,ENSG00000138778,1,False,False,True,False
CEP135,ENSG00000174799,2,True,False,True,False
CEP43,ENSG00000213066,1,True,False,False,False
CEP89,ENSG00000121289,1,False,False,True,False
CFAP20,ENSG00000070761,1,True,False,False,False
CHD4,ENSG00000111642,3,True,True,False,True
CHMP1A,ENSG00000131165,1,False,False,True,False
CHMP4A,ENSG00000254505,1,False,False,True,False
CHUK,ENSG00000213341,1,True,False,False,False
CLASRP,ENSG00000104859,1,True,False,False,False
CLCC1,ENSG00000121940,3,True,False,True,True
CLDND1,ENSG00000080822,1,False,False,True,False
CLPB,ENSG00000162129,2,True,False,True,False
CNOT11,ENSG00000158435,1,True,False,False,False
CNOT4,ENSG00000080802,1,True,False,False,False
CNOT6L,ENSG00000138767,1,False,False,True,False
COA3,ENSG00000183978,1,True,False,False,False
COA6,ENSG00000168275,1,False,False,True,False
COA7,ENSG00000162377,1,True,False,False,False
COASY,ENSG00000068120,2,True,False,True,False
COG6,ENSG00000133103,2,True,False,True,False
COLGALT1,ENSG00000130309,1,False,False,True,False
COMMD10,ENSG00000145781,1,True,False,False,False
COMMD5,ENSG00000170619,2,True,False,True,False
COMMD7,ENSG00000149600,2,True,False,True,False
COMMD8,ENSG00000169019,1,True,False,False,False
COPS8,ENSG00000198612,1,True,False,False,False
COPS9,ENSG00000172428,1,False,False,True,False
COQ2,ENSG00000173085,1,False,False,True,False
COQ6,ENSG00000119723,1,False,False,True,False
COX10,ENSG00000006695,1,True,False,False,False
COX16,ENSG00000133983,1,False,False,True,False
COX17,ENSG00000138495,1,False,False,True,False
COX18,ENSG00000163626,1,False,False,True,False
COX19,ENSG00000240230,2,True,False,True,False
COX4I1,ENSG00000131143,1,False,False,True,False
COX6C,ENSG00000164919,2,True,False,False,True
COX7C,ENSG00000127184,1,False,False,True,False
CPEB3,ENSG00000107864,1,True,False,False,False
CPSF6,ENSG00000111605,3,True,True,False,True
CREBBP,ENSG00000005339,2,True,False,False,True
CRLS1,ENSG00000088766,1,True,False,False,False
CROT,ENSG00000005469,2,True,True,False,False
CRY1,ENSG00000008405,1,False,True,False,False
CSDE1,ENSG00000009307,2,True,False,False,True
CSK,ENSG00000103653,1,False,False,True,False
CSNK2A1,ENSG00000101266,1,False,True,False,False
CTDSP2,ENSG00000175215,1,False,False,True,False
CTH,ENSG00000116761,1,False,False,True,False
CTNNB1,ENSG00000168036,1,False,False,True,False
CTPS1,ENSG00000171793,2,True,False,True,False
CTSO,ENSG00000256043,1,False,False,True,False
