gene,target_ensg,condition,n_downstream_Rest,n_downstream_Stim8hr,n_downstream_Stim48hr,n_total_de_Rest,n_total_de_Stim8hr,n_total_de_Stim48hr,n_sig_markers_Rest,n_sig_markers_Stim8hr,n_sig_markers_Stim48hr,stim_max_downstream,class,context_specificity_score,present_conditions,prog_zscore_at_op,top_sig_marker_at_op,therapeutic_direction
CD3E,ENSG00000198851,Stim8hr,0,5710,1585,0,5711,1586,0,36,14,5710,activation-induced,0.9998,"Stim8hr,Stim48hr",-4.753,IL2RA-,inhibit; activation-specific
LAT,ENSG00000213658,Stim8hr,0,5535,0,0,5536,0,0,33,0,5535,activation-induced,0.9998,Stim8hr,-4.61,STAT1+,inhibit; activation-specific
SENP5,ENSG00000119231,Stim8hr,0,5171,0,0,5172,0,0,17,0,5171,activation-induced,0.9998,Stim8hr,0.687,STAT4+,inhibit; activation-specific
BCL10,ENSG00000142867,Stim8hr,0,3455,0,0,3456,0,0,21,0,3455,activation-induced,0.9997,Stim8hr,-1.289,MYC-,inhibit; activation-specific
UBXN1,ENSG00000162191,Stim8hr,0,3443,0,0,3444,0,0,19,0,3443,activation-induced,0.9997,Stim8hr,-1.814,IL4R-,inhibit; activation-specific
ATF7IP2,ENSG00000166669,Stim8hr,0,2730,0,0,2731,0,0,8,0,2730,activation-induced,0.9996,Stim8hr,-2.635,IKZF2+,inhibit; activation-specific
CARMIL2,ENSG00000159753,Stim8hr,0,2544,0,0,2545,0,0,24,0,2544,activation-induced,0.9996,Stim8hr,-3.323,MYC-,inhibit; activation-specific
TMX1,ENSG00000139921,Stim8hr,0,2346,1959,0,2347,1960,0,24,18,2346,activation-induced,0.9996,"Stim8hr,Stim48hr",-3.973,STAT1+,inhibit; activation-specific
TRIP12,ENSG00000153827,Stim8hr,0,1829,0,0,1830,0,0,8,0,1829,activation-induced,0.9995,Stim8hr,-2.141,IL13-,inhibit; activation-specific
CLCC1,ENSG00000121940,Stim48hr,0,679,1731,0,680,1732,0,8,11,1731,activation-induced,0.9994,"Stim8hr,Stim48hr",-0.5,IKZF2+,inhibit; activation-specific
MALT1,ENSG00000172175,Stim8hr,0,1639,1411,0,1640,1412,0,15,17,1639,activation-induced,0.9994,"Stim8hr,Stim48hr",-2.545,HAVCR2+,inhibit; activation-specific
ZNF613,ENSG00000176024,Stim8hr,0,1620,0,0,1621,0,0,4,0,1620,activation-induced,0.9994,Stim8hr,-2.933,CCL5+,inhibit; activation-specific
FZD6,ENSG00000164930,Stim8hr,0,1394,0,0,1395,0,0,12,0,1394,activation-induced,0.9993,Stim8hr,-3.106,STAT1+,inhibit; activation-specific
SINHCAF,ENSG00000139146,Stim8hr,0,1210,410,0,1211,411,0,4,0,1210,activation-induced,0.9992,"Stim8hr,Stim48hr",,,inhibit; activation-specific
ITK,ENSG00000113263,Stim8hr,1,3392,2565,2,3393,2566,0,25,21,3392,activation-induced,0.9991,"Rest,Stim8hr,Stim48hr",-2.274,STAT1+,inhibit; activation-specific
COG6,ENSG00000133103,Stim8hr,0,1161,671,0,1162,672,0,11,5,1161,activation-induced,0.9991,"Stim8hr,Stim48hr",0.053,CD69+,inhibit; activation-specific
TIMM10,ENSG00000134809,Stim8hr,0,1055,124,0,1056,125,0,7,1,1055,activation-induced,0.9991,"Stim8hr,Stim48hr",1.593,GATA3-,inhibit; activation-specific
PLCG1,ENSG00000124181,Stim8hr,2,5032,2217,3,5033,2218,0,33,22,5032,activation-induced,0.999,"Rest,Stim8hr,Stim48hr",-4.538,STAT1+,inhibit; activation-specific
HMBS,ENSG00000256269,Stim8hr,0,1046,723,0,1047,724,0,9,6,1046,activation-induced,0.999,"Stim8hr,Stim48hr",2.325,RORC+,inhibit; activation-specific
NFKBIL1,ENSG00000204498,Stim8hr,0,953,32,0,954,33,0,1,0,953,activation-induced,0.999,"Stim8hr,Stim48hr",3.017,CTLA4+,inhibit; activation-specific
RNF20,ENSG00000155827,Stim48hr,0,627,934,0,628,935,0,15,17,934,activation-induced,0.9989,"Stim8hr,Stim48hr",-2.583,IL13-,inhibit; activation-specific
RB1CC1,ENSG00000023287,Stim8hr,0,901,580,0,902,581,0,11,5,901,activation-induced,0.9989,"Stim8hr,Stim48hr",1.032,TIGIT+,inhibit; activation-specific
WAPL,ENSG00000062650,Stim8hr,0,875,105,0,876,106,0,9,2,875,activation-induced,0.9989,"Stim8hr,Stim48hr",-3.613,LTA-,inhibit; activation-specific
EGR2,ENSG00000122877,Stim8hr,0,854,253,0,855,254,0,7,4,854,activation-induced,0.9988,"Stim8hr,Stim48hr",-2.354,LTA-,inhibit; activation-specific
NDFIP2,ENSG00000102471,Stim8hr,0,834,127,0,835,128,0,12,2,834,activation-induced,0.9988,"Stim8hr,Stim48hr",-3.33,IL22-,inhibit; activation-specific
MED1,ENSG00000125686,Stim8hr,0,818,231,0,819,232,0,15,10,818,activation-induced,0.9988,"Stim8hr,Stim48hr",-2.697,MYC-,inhibit; activation-specific
IL7R,ENSG00000168685,Stim8hr,0,811,0,0,812,0,0,14,0,811,activation-induced,0.9988,Stim8hr,-2.382,TNFRSF9-,inhibit; activation-specific
EPB41L3,ENSG00000082397,Stim8hr,0,800,0,0,801,0,0,8,0,800,activation-induced,0.9988,Stim8hr,-2.384,CD69-,inhibit; activation-specific
PPCDC,ENSG00000138621,Stim8hr,0,750,0,0,751,0,0,7,0,750,activation-induced,0.9987,Stim8hr,0.86,IL23R+,inhibit; activation-specific
RWDD2B,ENSG00000156253,Stim8hr,0,719,0,0,720,1,0,3,0,719,activation-induced,0.9986,"Stim8hr,Stim48hr",-3.274,MYC-,inhibit; activation-specific
MEST,ENSG00000106484,Stim8hr,0,681,0,0,682,0,0,7,0,681,activation-induced,0.9985,Stim8hr,3.233,STAT4+,inhibit; activation-specific
GTF3C6,ENSG00000155115,Stim8hr,0,653,0,0,654,0,0,13,0,653,activation-induced,0.9985,Stim8hr,2.616,CD69+,inhibit; activation-specific
SEC14L1,ENSG00000129657,Stim8hr,0,645,0,0,646,0,0,10,0,645,activation-induced,0.9985,Stim8hr,-0.82,CD40LG-,inhibit; activation-specific
COASY,ENSG00000068120,Stim8hr,0,622,0,0,623,0,0,9,0,622,activation-induced,0.9984,Stim8hr,2.12,STAT1+,inhibit; activation-specific
PPP3R1,ENSG00000221823,Stim8hr,0,612,522,0,613,523,0,5,5,612,activation-induced,0.9984,"Stim8hr,Stim48hr",-1.062,STAT4+,inhibit; activation-specific
CCDC12,ENSG00000160799,Stim8hr,0,593,0,0,594,0,0,6,0,593,activation-induced,0.9983,Stim8hr,-3.184,MYC-,inhibit; activation-specific
RAB11FIP1,ENSG00000156675,Stim8hr,0,587,0,0,588,0,0,4,0,587,activation-induced,0.9983,Stim8hr,4.473,IL23R+,inhibit; activation-specific
N6AMT1,ENSG00000156239,Stim48hr,0,269,510,0,270,511,0,0,12,510,activation-induced,0.998,"Stim8hr,Stim48hr",-3.75,CCL4-,inhibit; activation-specific
CD247,ENSG00000198821,Stim8hr,4,4329,827,5,4330,828,0,30,18,4329,activation-induced,0.9979,"Rest,Stim8hr,Stim48hr",-4.046,STAT1+,inhibit; activation-specific
COX19,ENSG00000240230,Stim48hr,0,309,483,0,310,484,0,1,4,483,activation-induced,0.9979,"Stim8hr,Stim48hr",0.118,BCL6+,inhibit; activation-specific
EMC2,ENSG00000104412,Stim48hr,0,250,465,0,251,466,0,1,5,465,activation-induced,0.9979,"Stim8hr,Stim48hr",4.006,IFNG+,inhibit; activation-specific
FAM161A,ENSG00000170264,Stim8hr,0,436,0,0,437,0,0,2,0,436,activation-induced,0.9977,Stim8hr,,,inhibit; activation-specific
RFT1,ENSG00000163933,Stim8hr,0,427,0,0,428,0,0,12,0,427,activation-induced,0.9977,Stim8hr,-4.082,STAT1+,inhibit; activation-specific
HEATR3,ENSG00000155393,Stim8hr,0,416,0,0,417,0,0,9,0,416,activation-induced,0.9976,Stim8hr,-0.464,CD69+,inhibit; activation-specific
RNFT1,ENSG00000189050,Stim8hr,0,413,109,0,414,110,0,2,0,413,activation-induced,0.9976,"Stim8hr,Stim48hr",,,inhibit; activation-specific
NAA25,ENSG00000111300,Stim8hr,0,409,0,0,410,0,0,6,0,409,activation-induced,0.9976,Stim8hr,-2.406,IL3-,inhibit; activation-specific
KIF16B,ENSG00000089177,Stim8hr,0,400,0,0,401,1,0,3,0,400,activation-induced,0.9975,"Stim8hr,Stim48hr",3.152,STAT1+,inhibit; activation-specific
ALG1,ENSG00000033011,Stim8hr,0,399,0,0,400,0,0,3,0,399,activation-induced,0.9975,Stim8hr,-4.593,IL2RA-,inhibit; activation-specific
NAF1,ENSG00000145414,Stim8hr,0,378,0,0,379,0,0,9,0,378,activation-induced,0.9974,Stim8hr,2.737,IL21+,inhibit; activation-specific
CDIPT,ENSG00000103502,Stim8hr,0,375,0,0,376,0,0,5,0,375,activation-induced,0.9973,Stim8hr,1.265,CD69+,inhibit; activation-specific
NRAS,ENSG00000213281,Stim8hr,0,374,0,0,375,0,0,2,0,374,activation-induced,0.9973,Stim8hr,-3.579,IL5-,inhibit; activation-specific
BCKDHA,ENSG00000248098,Stim8hr,0,373,0,0,374,0,0,1,0,373,activation-induced,0.9973,Stim8hr,3.821,TNFRSF9+,inhibit; activation-specific
COQ2,ENSG00000173085,Stim8hr,0,360,0,0,361,0,0,5,0,360,activation-induced,0.9972,Stim8hr,0.452,TNFRSF4+,inhibit; activation-specific
RRM2B,ENSG00000048392,Stim48hr,0,122,353,0,123,354,0,0,3,353,activation-induced,0.9972,"Stim8hr,Stim48hr",2.809,CXCR3-,inhibit; activation-specific
UBE3D,ENSG00000118420,Stim8hr,0,349,0,0,350,0,0,2,0,349,activation-induced,0.9971,Stim8hr,-3.275,CXCR3-,inhibit; activation-specific
FANCL,ENSG00000115392,Stim48hr,0,180,328,0,181,329,0,3,4,328,activation-induced,0.997,"Stim8hr,Stim48hr",-0.556,HAVCR2+,inhibit; activation-specific
CSK,ENSG00000103653,Stim8hr,0,325,48,0,326,49,0,3,0,325,activation-induced,0.9969,"Stim8hr,Stim48hr",-3.156,CD40LG-,inhibit; activation-specific
GPR15,ENSG00000154165,Stim8hr,0,320,13,0,321,14,0,5,0,320,activation-induced,0.9969,"Stim8hr,Stim48hr",3.643,CCL5+,inhibit; activation-specific
SP100,ENSG00000067066,Stim8hr,0,306,0,0,307,0,0,1,0,306,activation-induced,0.9967,Stim8hr,3.38,LTA+,inhibit; activation-specific
ZMYM2,ENSG00000121741,Stim8hr,0,304,0,0,305,0,0,2,0,304,activation-induced,0.9967,Stim8hr,,,inhibit; activation-specific
NAB2,ENSG00000166886,Stim8hr,0,301,6,0,302,7,0,5,1,301,activation-induced,0.9967,"Stim8hr,Stim48hr",3.569,TBX21+,inhibit; activation-specific
CTU1,ENSG00000142544,Stim8hr,0,296,49,0,297,50,0,3,0,296,activation-induced,0.9966,"Stim8hr,Stim48hr",3.48,STAT4+,inhibit; activation-specific
INTS15,ENSG00000146576,Stim8hr,0,295,269,0,296,270,0,4,3,295,activation-induced,0.9966,"Stim8hr,Stim48hr",-1.39,TNFRSF9-,inhibit; activation-specific
NATD1,ENSG00000274180,Stim8hr,1,829,31,2,830,32,0,2,0,829,activation-induced,0.9964,"Rest,Stim8hr,Stim48hr",,,inhibit; activation-specific
ANP32B,ENSG00000136938,Stim8hr,0,273,30,0,274,31,0,4,0,273,activation-induced,0.9964,"Stim8hr,Stim48hr",3.946,CD69+,inhibit; activation-specific
DIS3L,ENSG00000166938,Stim8hr,0,269,26,0,270,27,0,4,0,269,activation-induced,0.9963,"Stim8hr,Stim48hr",-4.072,LTA-,inhibit; activation-specific
BAP1,ENSG00000163930,Stim48hr,0,165,257,0,166,258,0,5,5,257,activation-induced,0.9961,"Stim8hr,Stim48hr",-1.979,MKI67+,inhibit; activation-specific
GTF2H5,ENSG00000272047,Stim8hr,0,255,0,0,256,0,0,4,0,255,activation-induced,0.9961,Stim8hr,1.237,CD69+,inhibit; activation-specific
LAT2,ENSG00000086730,Stim8hr,0,253,130,0,254,131,0,3,1,253,activation-induced,0.9961,"Stim8hr,Stim48hr",3.176,IKZF2+,inhibit; activation-specific
ORAI1,ENSG00000276045,Stim8hr,2,1249,76,3,1250,77,0,15,1,1249,activation-induced,0.996,"Rest,Stim8hr,Stim48hr",0.537,CD69+,inhibit; activation-specific
GTF3C5,ENSG00000148308,Stim8hr,0,238,173,0,239,174,0,5,3,238,activation-induced,0.9958,"Stim8hr,Stim48hr",-1.926,LTA-,inhibit; activation-specific
SRP9,ENSG00000143742,Stim8hr,0,234,0,0,235,0,0,5,0,234,activation-induced,0.9957,Stim8hr,-1.051,TBX21-,inhibit; activation-specific
GNG5,ENSG00000174021,Stim8hr,0,222,63,0,223,64,0,6,1,222,activation-induced,0.9955,"Stim8hr,Stim48hr",-3.617,CSF2-,inhibit; activation-specific
MORF4L1,ENSG00000185787,Stim8hr,0,220,58,0,221,59,0,0,0,220,activation-induced,0.9955,"Stim8hr,Stim48hr",,,inhibit; activation-specific
ZBTB14,ENSG00000198081,Stim48hr,0,85,210,0,86,211,0,1,5,210,activation-induced,0.9953,"Stim8hr,Stim48hr",-3.854,IL13-,inhibit; activation-specific
GNPAT,ENSG00000116906,Stim8hr,0,204,0,0,205,0,0,5,0,204,activation-induced,0.9951,Stim8hr,2.436,IL3+,inhibit; activation-specific
TMEM167A,ENSG00000174695,Stim8hr,0,204,0,0,205,0,0,0,0,204,activation-induced,0.9951,Stim8hr,,,inhibit; activation-specific
CD28,ENSG00000178562,Stim48hr,4,1505,1797,5,1506,1798,0,16,15,1797,activation-induced,0.995,"Rest,Stim8hr,Stim48hr",-2.713,IL4R+,inhibit; activation-specific
DNAAF2,ENSG00000165506,Stim8hr,0,200,115,0,201,116,0,5,4,200,activation-induced,0.995,"Stim8hr,Stim48hr",-3.446,BCL6+,inhibit; activation-specific
SYVN1,ENSG00000162298,Stim8hr,0,200,92,0,201,93,0,6,2,200,activation-induced,0.995,"Stim8hr,Stim48hr",-3.708,HAVCR2-,inhibit; activation-specific
POLR3H,ENSG00000100413,Stim8hr,0,196,0,0,197,0,0,3,0,196,activation-induced,0.9949,Stim8hr,0.085,MYC+,inhibit; activation-specific
POLR2K,ENSG00000147669,Stim8hr,0,194,0,0,195,0,0,2,0,194,activation-induced,0.9949,Stim8hr,,,inhibit; activation-specific
ELP4,ENSG00000109911,Stim8hr,0,191,75,0,192,76,0,1,2,191,activation-induced,0.9948,"Stim8hr,Stim48hr",3.502,HAVCR2+,inhibit; activation-specific
CABIN1,ENSG00000099991,Stim8hr,0,190,181,0,191,182,0,0,0,190,activation-induced,0.9948,"Stim8hr,Stim48hr",,,inhibit; activation-specific
THG1L,ENSG00000113272,Stim8hr,0,185,0,0,186,0,0,2,0,185,activation-induced,0.9946,Stim8hr,-0.079,LTA-,inhibit; activation-specific
C16orf87,ENSG00000155330,Stim8hr,0,181,0,0,182,0,0,1,0,181,activation-induced,0.9945,Stim8hr,,,inhibit; activation-specific
GNPNAT1,ENSG00000100522,Stim8hr,0,177,0,0,178,0,0,8,0,177,activation-induced,0.9944,Stim8hr,-4.018,IFNG-,inhibit; activation-specific
UQCRC2,ENSG00000140740,Stim8hr,0,176,123,0,177,124,0,2,2,176,activation-induced,0.9944,"Stim8hr,Stim48hr",-3.566,STAT1+,inhibit; activation-specific
MPG,ENSG00000103152,Stim48hr,0,55,165,0,56,166,0,3,0,165,activation-induced,0.994,"Stim8hr,Stim48hr",-3.911,HAVCR2-,inhibit; activation-specific
NDRG1,ENSG00000104419,Stim8hr,0,165,0,0,166,0,0,3,0,165,activation-induced,0.994,Stim8hr,3.486,RORC+,inhibit; activation-specific
WDR54,ENSG00000005448,Stim48hr,0,102,165,0,103,166,0,0,1,165,activation-induced,0.994,"Stim8hr,Stim48hr",,,inhibit; activation-specific
GET1,ENSG00000182093,Stim8hr,0,164,0,0,165,0,0,9,0,164,activation-induced,0.9939,Stim8hr,-4.539,IL3-,inhibit; activation-specific
KIDINS220,ENSG00000134313,Stim8hr,0,159,0,0,160,0,0,1,0,159,activation-induced,0.9938,Stim8hr,3.077,IL2+,inhibit; activation-specific
AVEN,ENSG00000169857,Stim8hr,0,156,0,0,157,1,0,0,0,156,activation-induced,0.9936,"Stim8hr,Stim48hr",,,inhibit; activation-specific
ARF4,ENSG00000168374,Stim8hr,0,153,0,0,154,0,0,2,0,153,activation-induced,0.9935,Stim8hr,-4.036,IL2-,inhibit; activation-specific
UBIAD1,ENSG00000120942,Stim48hr,0,89,153,0,90,154,0,0,1,153,activation-induced,0.9935,"Stim8hr,Stim48hr",,,inhibit; activation-specific
DDX42,ENSG00000198231,Stim8hr,0,150,84,0,151,85,0,1,1,150,activation-induced,0.9934,"Stim8hr,Stim48hr",-4.538,TNFRSF9-,inhibit; activation-specific
WDR7,ENSG00000091157,Stim48hr,0,52,149,0,53,150,0,2,2,149,activation-induced,0.9933,"Stim8hr,Stim48hr",-3.362,CTLA4-,inhibit; activation-specific
CD2,ENSG00000116824,Stim48hr,3,668,988,4,669,989,0,12,16,988,activation-induced,0.9929,"Rest,Stim8hr,Stim48hr",-3.158,STAT1+,inhibit; activation-specific
FAM204A,ENSG00000165669,Stim8hr,0,139,71,0,140,72,0,5,1,139,activation-induced,0.9929,"Stim8hr,Stim48hr",-3.883,IL3-,inhibit; activation-specific
HNRNPM,ENSG00000099783,Stim8hr,0,139,0,0,140,0,0,0,0,139,activation-induced,0.9929,Stim8hr,,,inhibit; activation-specific
LRIG1,ENSG00000144749,Stim8hr,0,138,0,1,139,0,0,5,0,138,activation-induced,0.9928,"Rest,Stim8hr",-3.441,STAT1+,inhibit; activation-specific
GJC1,ENSG00000182963,Stim48hr,0,132,133,0,133,134,0,1,5,133,activation-induced,0.9925,"Stim8hr,Stim48hr",-3.605,IL3-,inhibit; activation-specific
PRPF38B,ENSG00000134186,Stim8hr,0,133,83,0,134,84,0,2,1,133,activation-induced,0.9925,"Stim8hr,Stim48hr",-3.667,MKI67-,inhibit; activation-specific
TBL1X,ENSG00000101849,Stim8hr,0,132,0,0,133,0,0,3,0,132,activation-induced,0.9925,Stim8hr,-0.039,LAG3-,inhibit; activation-specific
METTL3,ENSG00000165819,Stim8hr,0,131,0,0,132,0,0,3,0,131,activation-induced,0.9924,Stim8hr,0.048,TBX21+,inhibit; activation-specific
SNUPN,ENSG00000169371,Stim48hr,0,64,130,0,65,131,0,1,3,130,activation-induced,0.9924,"Stim8hr,Stim48hr",3.511,GATA3-,inhibit; activation-specific
TMEM234,ENSG00000160055,Stim8hr,0,129,0,0,130,0,0,5,0,129,activation-induced,0.9923,Stim8hr,1.012,IL22-,inhibit; activation-specific
WDR24,ENSG00000127580,Stim8hr,0,128,40,0,129,41,0,0,0,128,activation-induced,0.9922,"Stim8hr,Stim48hr",,,inhibit; activation-specific
DGKZ,ENSG00000149091,Stim8hr,0,127,93,0,128,94,0,2,1,127,activation-induced,0.9922,"Stim8hr,Stim48hr",-3.238,STAT6+,inhibit; activation-specific
IDH3A,ENSG00000166411,Stim8hr,0,124,0,0,125,0,0,2,0,124,activation-induced,0.992,Stim8hr,-3.916,IL10-,inhibit; activation-specific
PPAT,ENSG00000128059,Stim8hr,0,124,0,0,125,0,0,2,0,124,activation-induced,0.992,Stim8hr,0.038,MYC+,inhibit; activation-specific
ALG3,ENSG00000214160,Stim8hr,0,121,0,0,122,0,0,3,0,121,activation-induced,0.9918,Stim8hr,-3.354,STAT1+,inhibit; activation-specific
IL21,ENSG00000138684,Stim8hr,0,120,107,0,121,108,0,2,1,120,activation-induced,0.9917,"Stim8hr,Stim48hr",-4.169,TNFRSF4-,inhibit; activation-specific
GEMIN7,ENSG00000142252,Stim8hr,0,116,0,0,117,0,0,2,0,116,activation-induced,0.9915,Stim8hr,-0.463,MKI67-,inhibit; activation-specific
OST4,ENSG00000228474,Stim48hr,0,97,114,0,98,115,0,0,0,114,activation-induced,0.9913,"Stim8hr,Stim48hr",,,inhibit; activation-specific
UNC45A,ENSG00000140553,Stim8hr,0,114,0,0,115,0,0,2,0,114,activation-induced,0.9913,Stim8hr,-3.032,CCL4-,inhibit; activation-specific
ITSN1,ENSG00000205726,Stim8hr,0,113,0,0,114,0,0,2,0,113,activation-induced,0.9912,Stim8hr,-3.827,MKI67-,inhibit; activation-specific
CD99L2,ENSG00000102181,Stim48hr,0,49,112,0,50,113,0,1,1,112,activation-induced,0.9912,"Stim8hr,Stim48hr",-4.28,TNFRSF18-,inhibit; activation-specific
SLF1,ENSG00000133302,Stim8hr,0,112,0,0,113,0,0,2,0,112,activation-induced,0.9912,Stim8hr,-3.607,MKI67-,inhibit; activation-specific
IFNGR1,ENSG00000027697,Stim8hr,0,109,2,0,110,3,0,4,0,109,activation-induced,0.9909,"Stim8hr,Stim48hr",,,inhibit; activation-specific
NOL7,ENSG00000225921,Stim8hr,0,109,0,0,110,0,0,4,0,109,activation-induced,0.9909,Stim8hr,1.06,MKI67-,inhibit; activation-specific
TTC7A,ENSG00000068724,Stim8hr,0,109,0,0,110,0,0,2,0,109,activation-induced,0.9909,Stim8hr,-0.014,IL3-,inhibit; activation-specific
EGLN1,ENSG00000135766,Stim8hr,0,107,12,0,108,13,0,0,0,107,activation-induced,0.9907,"Stim8hr,Stim48hr",,,inhibit; activation-specific
LBH,ENSG00000213626,Stim8hr,0,107,0,0,108,0,0,4,0,107,activation-induced,0.9907,Stim8hr,-1.0,IKZF1-,inhibit; activation-specific
ALKBH2,ENSG00000189046,Stim8hr,0,106,96,0,107,97,0,3,3,106,activation-induced,0.9907,"Stim8hr,Stim48hr",3.945,RORC+,inhibit; activation-specific
IL21R,ENSG00000103522,Stim48hr,0,74,106,0,75,107,0,2,0,106,activation-induced,0.9907,"Stim8hr,Stim48hr",,,inhibit; activation-specific
BCAP29,ENSG00000075790,Stim8hr,0,104,14,1,105,15,0,1,0,104,activation-induced,0.9905,"Rest,Stim8hr,Stim48hr",,,inhibit; activation-specific
ZBTB17,ENSG00000116809,Stim8hr,0,102,0,0,103,0,0,1,0,102,activation-induced,0.9903,Stim8hr,-3.451,IL22-,inhibit; activation-specific
EGR3,ENSG00000179388,Stim8hr,0,101,1,0,102,2,0,1,0,101,activation-induced,0.9902,"Stim8hr,Stim48hr",-3.375,IL22-,inhibit; activation-specific
UBE2F,ENSG00000184182,Stim8hr,0,101,0,0,102,0,0,3,0,101,activation-induced,0.9902,Stim8hr,3.68,CTLA4+,inhibit; activation-specific
TIMP1,ENSG00000102265,Stim48hr,0,35,100,0,36,101,0,4,6,100,activation-induced,0.9901,"Stim8hr,Stim48hr",-2.151,IL2RA-,inhibit; activation-specific
CHMP4A,ENSG00000254505,Stim8hr,0,99,0,0,100,0,0,0,0,99,activation-induced,0.99,Stim8hr,,,inhibit; activation-specific
GPT2,ENSG00000166123,Stim8hr,0,98,0,0,99,0,0,6,0,98,activation-induced,0.9899,Stim8hr,-1.841,CCL4-,inhibit; activation-specific
SRSF6,ENSG00000124193,Stim48hr,0,52,98,0,53,99,0,0,0,98,activation-induced,0.9899,"Stim8hr,Stim48hr",,,inhibit; activation-specific
COX17,ENSG00000138495,Stim48hr,0,89,97,1,90,98,0,2,2,97,activation-induced,0.9898,"Rest,Stim8hr,Stim48hr",-3.399,IL2RA-,inhibit; activation-specific
ULK4,ENSG00000168038,Stim8hr,0,97,0,0,98,0,0,2,0,97,activation-induced,0.9898,Stim8hr,3.374,TIGIT+,inhibit; activation-specific
USP36,ENSG00000055483,Stim8hr,0,97,0,0,98,0,0,0,0,97,activation-induced,0.9898,Stim8hr,,,inhibit; activation-specific
CBX3,ENSG00000122565,Stim8hr,0,96,0,0,97,0,0,1,0,96,activation-induced,0.9897,Stim8hr,,,inhibit; activation-specific
EID2,ENSG00000176396,Stim8hr,0,94,93,0,95,94,0,3,1,94,activation-induced,0.9895,"Stim8hr,Stim48hr",-0.087,IL4-,inhibit; activation-specific
CBLB,ENSG00000114423,Stim8hr,5,1027,179,6,1028,180,0,11,3,1027,activation-induced,0.9894,"Rest,Stim8hr,Stim48hr",4.362,IKZF1-,inhibit; activation-specific
OGT,ENSG00000147162,Stim8hr,0,93,0,0,94,0,0,2,0,93,activation-induced,0.9894,Stim8hr,-3.347,STAT1+,inhibit; activation-specific
STOM,ENSG00000148175,Stim8hr,0,93,0,0,94,0,0,2,0,93,activation-induced,0.9894,Stim8hr,,,inhibit; activation-specific
ZFP36L2,ENSG00000152518,Stim8hr,0,92,0,0,93,1,0,1,0,92,activation-induced,0.9892,"Stim8hr,Stim48hr",4.122,CD69+,inhibit; activation-specific
YIPF1,ENSG00000058799,Stim8hr,0,91,35,0,92,36,0,2,1,91,activation-induced,0.9891,"Stim8hr,Stim48hr",,,inhibit; activation-specific
MAP3K1,ENSG00000095015,Stim8hr,0,89,1,0,90,2,0,0,0,89,activation-induced,0.9889,"Stim8hr,Stim48hr",,,inhibit; activation-specific
HMGXB3,ENSG00000113716,Stim8hr,0,87,82,0,88,83,0,2,5,87,activation-induced,0.9886,"Stim8hr,Stim48hr",3.741,CD69+,inhibit; activation-specific
IRF8,ENSG00000140968,Stim8hr,0,87,0,0,88,0,0,3,0,87,activation-induced,0.9886,Stim8hr,3.752,CSF2+,inhibit; activation-specific
TEFM,ENSG00000172171,Stim48hr,0,68,87,0,69,88,0,0,0,87,activation-induced,0.9886,"Stim8hr,Stim48hr",,,inhibit; activation-specific
CHMP1A,ENSG00000131165,Stim8hr,0,86,6,0,87,7,0,1,1,86,activation-induced,0.9885,"Stim8hr,Stim48hr",3.293,CSF2+,inhibit; activation-specific
MFSD6,ENSG00000151690,Stim48hr,0,29,85,0,30,86,0,2,8,85,activation-induced,0.9884,"Stim8hr,Stim48hr",-3.827,CD40LG-,inhibit; activation-specific
GOLT1B,ENSG00000111711,Stim8hr,0,84,0,0,85,0,0,5,0,84,activation-induced,0.9882,Stim8hr,-1.053,CCR4-,inhibit; activation-specific
PQBP1,ENSG00000102103,Stim8hr,0,84,20,0,85,21,0,0,1,84,activation-induced,0.9882,"Stim8hr,Stim48hr",-4.194,IL3-,inhibit; activation-specific
KRCC1,ENSG00000172086,Stim8hr,0,83,0,0,84,0,0,1,0,83,activation-induced,0.9881,Stim8hr,-3.437,IFNG-,inhibit; activation-specific
TRAF6,ENSG00000175104,Stim8hr,0,82,32,0,83,33,0,2,3,82,activation-induced,0.988,"Stim8hr,Stim48hr",-3.558,IL12RB2-,inhibit; activation-specific
BLOC1S4,ENSG00000186222,Stim8hr,0,81,0,0,82,0,0,1,0,81,activation-induced,0.9878,Stim8hr,-2.59,ICOS-,inhibit; activation-specific
STIM1,ENSG00000167323,Stim8hr,0,80,0,0,81,0,0,3,0,80,activation-induced,0.9877,Stim8hr,4.28,CD69+,inhibit; activation-specific
REL,ENSG00000162924,Stim8hr,0,79,0,0,80,0,0,1,0,79,activation-induced,0.9875,Stim8hr,3.744,CD69+,inhibit; activation-specific
NCAPD3,ENSG00000151503,Stim48hr,0,42,78,0,43,79,0,0,2,78,activation-induced,0.9873,"Stim8hr,Stim48hr",-3.3,IKZF4+,inhibit; activation-specific
SEC24C,ENSG00000176986,Stim8hr,0,78,0,0,79,0,0,2,0,78,activation-induced,0.9873,Stim8hr,-3.449,IL10-,inhibit; activation-specific
VPS45,ENSG00000136631,Stim8hr,0,78,0,0,79,0,0,5,0,78,activation-induced,0.9873,Stim8hr,1.421,IL2RA-,inhibit; activation-specific
ZNF131,ENSG00000172262,Stim8hr,0,78,0,0,79,0,0,0,0,78,activation-induced,0.9873,Stim8hr,,,inhibit; activation-specific
ECI2,ENSG00000198721,Stim8hr,0,77,0,0,78,1,0,3,0,77,activation-induced,0.9872,"Stim8hr,Stim48hr",,,inhibit; activation-specific
