gene,ensg,condition,Th1_score,Th2_score,Th17_score,Treg_score,Tfh_score,Th1_vs_Th2,Effector_vs_Treg,z_Th1_vs_Th2,z_Effector_vs_Treg,max_abs_z,primary_axis,shift_label,therapeutic_direction,n_sig_program_markers,ontarget_effect_size,n_downstream
WDR24,ENSG00000127580,Stim48hr,2.0883,-0.0899,-0.1548,0.0114,0.3779,2.1782,0.6031,3.1483,1.1181,3.1483,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-5.8627,40
UBTD2,ENSG00000168246,Stim8hr,1.2389,-1.3111,0.0995,-0.6907,-0.0061,2.55,0.6998,3.135,1.3443,3.135,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-5.429,2
FNBP4,ENSG00000109920,Stim8hr,-0.6633,1.5856,0.7499,0.8333,0.4401,-2.249,-0.2759,-3.1335,-0.4749,3.1335,Th1_vs_Th2,→Th2,skew-Th2,6,-9.7991,883
UFL1,ENSG00000014123,Stim8hr,1.8088,-0.315,0.5438,-0.9792,0.725,2.1238,1.6584,2.5782,3.1318,3.1318,Effector_vs_Treg,→Th1; →Effector,boost-immunity,6,-6.4557,1320
SMPD1,ENSG00000166311,Stim48hr,0.2219,0.9821,0.9879,-1.0338,0.6217,-0.7602,1.7644,-1.2044,3.1316,3.1316,Effector_vs_Treg,→Effector,boost-immunity,0,-8.3142,73
VPS45,ENSG00000136631,Stim8hr,-0.294,-0.8069,0.5052,-1.8503,0.4109,0.5129,1.6518,0.474,3.1194,3.1194,Effector_vs_Treg,→Effector,boost-immunity,3,-7.9194,78
C4orf3,ENSG00000164096,Stim8hr,-0.3998,-0.4921,-0.2215,1.3197,-0.309,0.0923,-1.6908,-0.0753,-3.113,3.113,Effector_vs_Treg,→Treg,suppress-inflammation,0,-25.2249,1
HNRNPM,ENSG00000099783,Stim8hr,1.4048,-1.1244,0.3047,0.0473,0.6553,2.5292,0.1477,3.1077,0.315,3.1077,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-9.697,139
GNPAT,ENSG00000116906,Stim8hr,0.9984,-1.5304,-0.5419,-0.8066,-0.1077,2.5288,0.4486,3.1073,0.8761,3.1073,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),2,-5.5103,204
NEK7,ENSG00000151414,Rest,-1.5172,0.7509,-0.6905,-0.4712,-0.0664,-2.2681,-0.0144,-3.1004,0.0048,3.1004,Th1_vs_Th2,→Th2,skew-Th2,0,-19.1743,3
