gene,ensg,condition,Th1_score,Th2_score,Th17_score,Treg_score,Tfh_score,Th1_vs_Th2,Effector_vs_Treg,z_Th1_vs_Th2,z_Effector_vs_Treg,max_abs_z,primary_axis,shift_label,therapeutic_direction,n_sig_program_markers,ontarget_effect_size,n_downstream
PPP1R13B,ENSG00000088808,Rest,-1.3219,0.7277,-0.2262,-0.0408,-0.377,-2.0496,-0.2327,-2.8019,-0.5404,2.8019,Th1_vs_Th2,→Th2,skew-Th2,0,-5.7562,2
APC,ENSG00000134982,Stim8hr,-1.3519,-0.3268,-0.5412,0.7838,0.4621,-1.0251,-1.5237,-1.535,-2.8015,2.8015,Effector_vs_Treg,→Treg,suppress-inflammation,4,-3.5875,244
MITD1,ENSG00000158411,Rest,1.137,-0.8546,0.7242,-0.768,1.2531,1.9916,1.1035,2.7189,2.797,2.797,Effector_vs_Treg,→Th1; →Effector,boost-immunity,2,-13.8927,10
ELP3,ENSG00000134014,Stim8hr,1.2244,-1.0652,0.5462,0.2151,0.5223,2.2897,0.02,2.7949,0.0769,2.7949,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),5,-12.3328,995
CBLB,ENSG00000114423,Stim8hr,1.2307,-0.448,-0.3051,-1.3173,1.3627,1.6787,1.4765,1.9968,2.7926,2.7926,Effector_vs_Treg,→Effector,boost-immunity,8,-15.9917,1027
MOV10,ENSG00000155363,Stim8hr,0.7472,0.4487,-0.0518,-1.0939,-0.5684,0.2985,1.4753,0.1939,2.7904,2.7904,Effector_vs_Treg,→Effector,boost-immunity,6,-10.4695,740
IWS1,ENSG00000163166,Rest,-0.0387,-0.0366,0.3982,-0.9927,0.9441,-0.002,1.1003,-0.0047,2.7889,2.7889,Effector_vs_Treg,→Effector,boost-immunity,1,-15.1051,685
PRELID1,ENSG00000169230,Rest,-1.1676,0.8718,0.2001,-0.5204,-0.0554,-2.0393,0.4886,-2.7878,1.261,2.7878,Th1_vs_Th2,→Th2,skew-Th2,2,-7.5617,116
STAT4,ENSG00000138378,Stim8hr,-1.9466,-0.2944,-0.9324,0.4578,-0.4957,-1.6522,-1.5155,-2.354,-2.7862,2.7862,Effector_vs_Treg,→Th2; →Treg,suppress-inflammation,1,-15.2612,0
VKORC1,ENSG00000167397,Stim48hr,-0.5206,-0.1699,-0.7642,1.1633,-0.3073,-0.3507,-1.6482,-0.5977,-2.7853,2.7853,Effector_vs_Treg,→Treg,suppress-inflammation,0,-28.7742,4
OTUD6B,ENSG00000155100,Stim48hr,-1.1682,0.656,-0.0982,-0.0154,-0.596,-1.8242,-0.188,-2.7804,-0.2536,2.7804,Th1_vs_Th2,→Th2,skew-Th2,0,-7.2011,12
INSIG1,ENSG00000186480,Stim48hr,-1.5752,0.2474,-0.6016,-1.3042,-1.305,-1.8226,0.6611,-2.778,1.2186,2.778,Th1_vs_Th2,→Th2,skew-Th2,3,-10.7355,730
DENR,ENSG00000139726,Rest,-0.5897,-0.9566,0.1105,0.6496,0.1136,0.367,-1.1282,0.4994,-2.7769,2.7769,Effector_vs_Treg,→Treg,suppress-inflammation,5,-21.8587,1896
CSNK2A1,ENSG00000101266,Stim8hr,0.2617,0.0795,-0.1631,-1.407,-0.1931,0.1822,1.4663,0.042,2.7737,2.7737,Effector_vs_Treg,→Effector,boost-immunity,1,-8.8996,138
CNOT11,ENSG00000158435,Stim8hr,-1.4229,0.5488,0.3089,-0.6357,-0.883,-1.9716,0.4472,-2.7713,0.8735,2.7713,Th1_vs_Th2,→Th2,skew-Th2,3,-14.461,660
EIF4G2,ENSG00000110321,Stim8hr,1.0204,-1.2511,-1.3381,-1.219,-0.2636,2.2716,0.6961,2.7712,1.3374,2.7712,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),13,-10.7187,2529
USP38,ENSG00000170185,Stim48hr,0.1056,-1.8171,-0.8782,-0.1044,-1.2936,1.9227,-0.7588,2.7698,-1.2432,2.7698,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-20.1832,1
LHPP,ENSG00000107902,Rest,-0.7429,1.2821,-0.1711,0.6748,0.3221,-2.025,-0.5521,-2.7683,-1.3381,2.7683,Th1_vs_Th2,→Th2,skew-Th2,1,-10.5192,2
ZC3HC1,ENSG00000091732,Stim48hr,0.6154,-1.3048,-0.2002,-0.7023,-0.0299,1.9202,0.4058,2.7661,0.776,2.7661,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),2,-3.9751,100
CSF2RB,ENSG00000100368,Stim48hr,-0.301,0.0663,0.8714,-1.3412,0.3084,-0.3673,1.5534,-0.6223,2.7658,2.7658,Effector_vs_Treg,→Effector,boost-immunity,0,-4.0934,5
STAT4,ENSG00000138378,Rest,-2.3756,-0.3526,-0.3375,-0.2704,-0.1613,-2.0229,-0.7514,-2.7654,-1.8361,2.7654,Th1_vs_Th2,→Th2,skew-Th2,1,-16.1644,0
PTPN9,ENSG00000169410,Rest,0.3689,-0.3371,1.4428,-0.5992,0.2586,0.706,1.0907,0.9626,2.765,2.765,Effector_vs_Treg,→Effector,boost-immunity,0,-25.0903,1
SLC30A6,ENSG00000152683,Rest,1.6037,-0.4191,0.1082,0.7246,0.913,2.0228,-0.2936,2.7615,-0.6926,2.7615,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-13.0637,15
NACC2,ENSG00000148411,Rest,-0.5738,-0.5144,0.0652,-1.4293,-0.6589,-0.0594,1.0884,-0.083,2.7591,2.7591,Effector_vs_Treg,→Effector,boost-immunity,0,-3.6118,71
UVRAG,ENSG00000198382,Stim8hr,-0.1587,-0.335,0.3769,-1.4974,1.4243,0.1763,1.4585,0.0344,2.7591,2.7591,Effector_vs_Treg,→Effector,boost-immunity,6,-3.7175,528
SMOX,ENSG00000088826,Stim8hr,-0.2326,-0.1643,-0.0234,1.3602,-0.5524,-0.0683,-1.5003,-0.2851,-2.7578,2.7578,Effector_vs_Treg,→Treg,suppress-inflammation,0,-11.3515,1
GTSE1,ENSG00000075218,Stim48hr,-0.7374,1.07,-0.3665,1.1252,-0.1409,-1.8074,-1.1365,-2.7556,-1.8981,2.7556,Th1_vs_Th2,→Th2,skew-Th2,0,-11.0515,24
CCNA2,ENSG00000145386,Stim48hr,0.8008,-1.1088,0.1064,-0.011,-0.0774,1.9095,-0.0562,2.7503,-0.025,2.7503,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-11.9939,383
FBXO38,ENSG00000145868,Rest,1.5708,-0.4434,-0.1369,0.1659,1.2507,2.0142,0.1643,2.7497,0.4511,2.7497,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-10.6734,121
VIM,ENSG00000026025,Rest,1.0277,-0.9811,-0.2175,-0.2244,-0.099,2.0088,0.1675,2.7424,0.459,2.7424,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-15.1992,26
TM7SF2,ENSG00000149809,Rest,-0.4897,-0.0115,-0.2729,0.856,-0.074,-0.4782,-1.114,-0.6551,-2.7416,2.7416,Effector_vs_Treg,→Treg,suppress-inflammation,0,-9.4259,1
MTFR1L,ENSG00000117640,Rest,1.4109,-0.5968,0.1678,-0.5171,-0.2954,2.0076,0.8444,2.7408,2.1498,2.7408,Th1_vs_Th2,→Th1; →Effector,boost-immunity,1,-13.1505,2
ELP6,ENSG00000163832,Stim48hr,-0.5446,1.2518,0.0299,0.2533,-0.0351,-1.7963,-0.0076,-2.7391,0.0592,2.7391,Th1_vs_Th2,→Th2,skew-Th2,0,-9.6956,37
RPTOR,ENSG00000141564,Rest,0.3821,0.1677,0.5695,1.4859,0.7409,0.2144,-1.1128,0.291,-2.7385,2.7385,Effector_vs_Treg,→Treg,suppress-inflammation,2,-3.1091,638
VPS4A,ENSG00000132612,Stim48hr,-0.0334,1.0468,0.5064,-1.0307,1.1084,-1.0802,1.5372,-1.6783,2.7377,2.7377,Effector_vs_Treg,→Effector,boost-immunity,1,-19.2485,49
PLCL2,ENSG00000154822,Stim8hr,1.1499,0.1892,0.2364,-0.9214,-0.4336,0.9606,1.4466,1.0589,2.7369,2.7369,Effector_vs_Treg,→Effector,boost-immunity,0,-11.2762,2
PIK3R5,ENSG00000141506,Rest,-0.5088,-0.289,-0.2631,0.7582,0.2151,-0.2198,-1.1119,-0.3021,-2.7362,2.7362,Effector_vs_Treg,→Treg,suppress-inflammation,0,-8.0441,4
JUNB,ENSG00000171223,Stim8hr,-0.3173,0.3156,-1.0284,1.144,0.3384,-0.633,-1.4874,-1.0227,-2.7337,2.7337,Effector_vs_Treg,→Treg,suppress-inflammation,3,-14.6168,101
TNFRSF8,ENSG00000120949,Stim8hr,-0.1002,0.1611,-0.5512,1.3236,-0.2064,-0.2613,-1.487,-0.5373,-2.733,2.733,Effector_vs_Treg,→Treg,suppress-inflammation,0,-8.8552,1
PSME1,ENSG00000092010,Rest,1.4277,-0.5742,0.6949,-0.5177,0.3104,2.0019,1.0338,2.733,2.6227,2.733,Th1_vs_Th2,→Th1; →Effector,boost-immunity,0,-32.2438,3
BCOR,ENSG00000183337,Stim8hr,-0.958,0.9836,-0.2252,-0.4016,0.2606,-1.9416,0.335,-2.7321,0.6642,2.7321,Th1_vs_Th2,→Th2,skew-Th2,1,-8.9886,41
EHMT2,ENSG00000204371,Rest,-1.5801,0.4184,0.177,-0.0934,0.1919,-1.9985,-0.2348,-2.7321,-0.5457,2.7321,Th1_vs_Th2,→Th2,skew-Th2,6,-17.3323,1428
FEM1A,ENSG00000141965,Stim8hr,-1.8491,0.0914,0.1011,-0.4108,-0.4764,-1.9405,-0.1414,-2.7306,-0.2241,2.7306,Th1_vs_Th2,→Th2,skew-Th2,2,-9.7266,94
GALE,ENSG00000117308,Stim8hr,-1.6748,0.2646,-0.2615,-0.6189,0.2694,-1.9394,0.0617,-2.7292,0.1546,2.7292,Th1_vs_Th2,→Th2,skew-Th2,0,-9.4465,1
OGT,ENSG00000147162,Stim8hr,0.6359,1.3689,-0.5965,-0.973,-0.3254,-0.733,1.4424,-1.1534,2.7291,2.7291,Effector_vs_Treg,→Effector,boost-immunity,1,-3.703,93
PDSS2,ENSG00000164494,Rest,1.0262,-0.9722,-0.1138,-0.0069,0.326,1.9985,-0.013,2.7283,0.0082,2.7283,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),4,-6.1059,942
ALDH18A1,ENSG00000059573,Stim48hr,0.483,-0.7781,-0.8061,1.2478,0.2404,1.2611,-1.6149,1.7898,-2.7274,2.7274,Effector_vs_Treg,→Treg,suppress-inflammation,1,-8.7406,15
TFB1M,ENSG00000029639,Stim48hr,-0.4108,-1.2529,-0.5785,0.8673,0.292,0.8421,-1.6147,1.1691,-2.7272,2.7272,Effector_vs_Treg,→Treg,suppress-inflammation,5,-11.7972,865
BCL3,ENSG00000069399,Stim8hr,-1.283,-0.6478,-0.8254,0.5643,-0.3734,-0.6352,-1.483,-1.0257,-2.7256,2.7256,Effector_vs_Treg,→Treg,suppress-inflammation,2,-12.7233,112
ZNF776,ENSG00000152443,Rest,-1.1506,0.8402,0.7174,-0.1819,-0.7131,-1.9908,0.3176,-2.7216,0.8339,2.7216,Th1_vs_Th2,→Th2,skew-Th2,2,-3.0835,168
IST1,ENSG00000182149,Stim48hr,-0.3123,-1.3149,0.2579,-1.9843,-0.5456,1.0025,1.5279,1.4068,2.7215,2.7215,Effector_vs_Treg,→Effector,boost-immunity,4,-15.9869,176
BRD1,ENSG00000100425,Stim8hr,-2.0128,-0.0799,-0.664,-1.0963,-0.672,-1.9329,0.1774,-2.7207,0.3705,2.7207,Th1_vs_Th2,→Th2,skew-Th2,5,-12.3604,291
RBIS,ENSG00000176731,Stim48hr,0.122,-0.3064,-0.6414,1.3353,-0.3159,0.4284,-1.6106,0.5563,-2.72,2.72,Effector_vs_Treg,→Treg,suppress-inflammation,1,-5.7502,22
ERGIC1,ENSG00000113719,Rest,-0.1218,0.1404,0.1206,-1.0254,-0.0967,-0.2622,1.0719,-0.36,2.7178,2.7178,Effector_vs_Treg,→Effector,boost-immunity,1,-4.0079,10
MTA2,ENSG00000149480,Rest,1.6151,-0.375,-0.0674,0.8773,1.4886,1.9901,-0.4864,2.7169,-1.1741,2.7169,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),9,-16.9702,1521
MAEA,ENSG00000090316,Rest,0.4706,0.7498,-0.2959,-0.7632,-0.4159,-0.2792,1.0714,-0.3833,2.7166,2.7166,Effector_vs_Treg,→Effector,boost-immunity,2,-14.2847,1650
AIFM1,ENSG00000156709,Stim48hr,-0.1492,-0.5615,0.5644,1.5592,-0.2459,0.4123,-1.608,0.5324,-2.7156,2.7156,Effector_vs_Treg,→Treg,suppress-inflammation,5,-7.3342,997
CFAP20,ENSG00000070761,Stim8hr,0.9708,-1.2565,-0.0244,-0.3687,-0.1963,2.2273,0.2653,2.7134,0.5343,2.7134,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),10,-11.1833,862
ZBED1,ENSG00000214717,Rest,0.7866,-1.2001,-0.7399,-0.8589,0.2724,1.9867,0.4744,2.7122,1.2256,2.7122,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),2,-5.2189,112
TPD52,ENSG00000076554,Stim48hr,-0.5184,-0.487,0.4439,-1.7084,0.4349,-0.0314,1.5213,-0.1248,2.71,2.71,Effector_vs_Treg,→Effector,boost-immunity,1,-11.5649,92
CRLS1,ENSG00000088766,Stim48hr,-0.6577,-0.451,-0.2996,1.1346,-0.9254,-0.2067,-1.604,-0.3844,-2.7086,2.7086,Effector_vs_Treg,→Treg,suppress-inflammation,5,-15.3263,834
SFXN1,ENSG00000164466,Stim48hr,-0.1072,1.6666,0.2784,1.3732,0.186,-1.7738,-0.7606,-2.7058,-1.2464,2.7058,Th1_vs_Th2,→Th2,skew-Th2,1,-49.1035,712
EPHA4,ENSG00000116106,Rest,1.1993,-0.7822,-0.5495,-0.0102,0.0724,1.9816,-0.0339,2.7052,-0.0439,2.7052,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-11.0975,2
TIMM8A,ENSG00000126953,Rest,1.4056,-0.5745,-0.1598,-0.5376,0.0143,1.9801,0.7613,2.7031,1.9422,2.7031,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-9.043,14
CARHSP1,ENSG00000153048,Stim8hr,0.5286,-1.6894,-0.8244,0.1861,-0.6966,2.2179,-0.8478,2.7012,-1.5413,2.7012,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-13.1971,2
SEC22C,ENSG00000093183,Rest,-0.9444,1.0289,-0.338,0.0556,-0.598,-1.9733,-0.1401,-2.6977,-0.3091,2.6977,Th1_vs_Th2,→Th2,skew-Th2,0,-13.3321,2
MED23,ENSG00000112282,Rest,-1.2053,0.7655,-0.3366,-0.2344,-0.3083,-1.9708,-0.0244,-2.6943,-0.0201,2.6943,Th1_vs_Th2,→Th2,skew-Th2,2,-13.6113,146
CRLF3,ENSG00000176390,Stim8hr,0.5297,-1.678,-0.89,-0.4236,-0.9693,2.2077,-0.2559,2.6878,-0.4375,2.6878,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-14.6349,8
PEX5,ENSG00000139197,Rest,0.1666,-0.0715,0.1063,-0.9916,-0.5423,0.2381,1.0587,0.3233,2.6849,2.6849,Effector_vs_Treg,→Effector,boost-immunity,0,-6.2405,2
SUPT20H,ENSG00000102710,Rest,0.7769,-1.189,0.3075,0.1102,-0.4653,1.9659,-0.1451,2.6838,-0.3216,2.6838,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),12,-20.2725,3071
CTPS1,ENSG00000171793,Stim8hr,0.8786,-1.2706,0.0151,-1.5437,0.4899,2.1492,1.418,2.6114,2.6836,2.6836,Effector_vs_Treg,→Th1; →Effector,boost-immunity,9,-8.0568,891
CITED4,ENSG00000179862,Rest,-0.5344,1.4285,-0.6139,0.1979,-0.2921,-1.9629,-0.1045,-2.6835,-0.2202,2.6835,Th1_vs_Th2,→Th2,skew-Th2,0,-7.6711,2
U2SURP,ENSG00000163714,Rest,-1.4208,0.5419,0.177,0.4228,0.041,-1.9627,-0.6567,-2.6831,-1.5995,2.6831,Th1_vs_Th2,→Th2,skew-Th2,1,-5.5299,67
ATXN10,ENSG00000130638,Stim8hr,1.1754,-1.0258,0.0593,-0.2073,0.2241,2.2012,0.277,2.6793,0.556,2.6793,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),10,-8.5975,1305
PCBP1,ENSG00000169564,Stim8hr,0.2508,-0.55,0.2934,-1.4163,-0.3331,0.8008,1.4144,0.8501,2.6768,2.6768,Effector_vs_Treg,→Effector,boost-immunity,5,-11.8586,615
ADD1,ENSG00000087274,Stim48hr,0.3241,-0.2146,0.6555,-1.2457,0.1734,0.5387,1.5007,0.7198,2.6743,2.6743,Effector_vs_Treg,→Effector,boost-immunity,0,-10.7171,5
DEDD,ENSG00000158796,Stim8hr,0.2882,-0.4451,-0.5372,-1.6436,0.0674,0.7333,1.4122,0.762,2.6727,2.6727,Effector_vs_Treg,→Effector,boost-immunity,0,-15.6157,2
IFNG,ENSG00000111537,Stim8hr,-1.2711,0.6248,-0.3083,0.2373,-0.7114,-1.8959,-0.5555,-2.6723,-0.9962,2.6723,Th1_vs_Th2,→Th2,skew-Th2,1,-6.5539,0
SNX33,ENSG00000173548,Stim48hr,-1.9126,-0.1624,-0.4147,-1.3623,-0.3583,-1.7502,0.5324,-2.6708,0.9956,2.6708,Th1_vs_Th2,→Th2,skew-Th2,1,-4.4582,5
FOXK1,ENSG00000164916,Stim48hr,-0.5564,1.193,-0.1946,-0.3238,-0.636,-1.7494,0.4711,-2.6697,0.8892,2.6697,Th1_vs_Th2,→Th2,skew-Th2,1,-11.0468,139
SLC16A5,ENSG00000170190,Rest,-0.805,1.147,-0.4352,-0.4246,-0.4223,-1.952,0.3935,-2.6685,1.0235,2.6685,Th1_vs_Th2,→Th2,skew-Th2,0,-2.5905,37
PFKM,ENSG00000152556,Rest,1.984,0.0326,0.5554,0.1566,0.5644,1.9514,0.7008,2.6639,1.791,2.6639,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),3,-4.819,39
RUFY1,ENSG00000176783,Stim48hr,0.3156,0.1332,-0.2164,1.6532,-0.134,0.1823,-1.5757,0.1918,-2.6596,2.6596,Effector_vs_Treg,→Treg,suppress-inflammation,0,-20.8288,2
NSD1,ENSG00000165671,Stim48hr,-1.8154,-0.974,-0.6149,-2.6253,-2.5464,-0.8414,1.4906,-1.3247,2.6568,2.6568,Effector_vs_Treg,→Effector,boost-immunity,19,-26.4253,2174
ACBD5,ENSG00000107897,Stim8hr,-0.966,0.9165,-0.083,-0.6058,-0.1343,-1.8825,0.5616,-2.6549,1.0867,2.6549,Th1_vs_Th2,→Th2,skew-Th2,0,-21.451,4
MED1,ENSG00000125686,Stim8hr,-0.0933,-0.7335,0.2684,-1.588,-0.6467,0.6402,1.4018,0.6403,2.6534,2.6534,Effector_vs_Treg,→Effector,boost-immunity,11,-10.9664,818
DCUN1D2,ENSG00000150401,Stim48hr,1.0929,-0.7493,-0.3124,-0.7501,-0.0979,1.8421,0.7605,2.6505,1.3911,2.6505,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-4.3034,10
COX6C,ENSG00000164919,Rest,1.0444,-0.8965,0.368,0.259,0.2639,1.9409,-0.087,2.6497,-0.1766,2.6497,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),3,-16.9466,266
TRMT10C,ENSG00000174173,Stim48hr,0.5771,-1.2639,0.8785,-0.1821,0.502,1.841,0.246,2.6487,0.499,2.6487,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),3,-7.9942,341
HACE1,ENSG00000085382,Stim48hr,-0.2948,0.1119,0.03,-1.5354,-0.1284,-0.4067,1.4845,-0.6806,2.6462,2.6462,Effector_vs_Treg,→Effector,boost-immunity,0,-11.2606,1
CD3E,ENSG00000198851,Stim8hr,0.1397,-0.5112,0.2504,-1.4379,-2.5829,0.6509,1.3975,0.6543,2.6453,2.6453,Effector_vs_Treg,→Effector,boost-immunity,26,-17.8918,5710
GNPDA2,ENSG00000163281,Rest,-1.1433,0.7909,-0.1274,0.2451,0.0317,-1.9342,-0.4051,-2.6442,-0.9709,2.6442,Th1_vs_Th2,→Th2,skew-Th2,0,-8.8697,166
MOV10,ENSG00000155363,Rest,0.5593,0.5029,-0.3421,-0.8023,-0.2684,0.0565,1.0424,0.0753,2.6442,2.6442,Effector_vs_Treg,→Effector,boost-immunity,5,-12.3403,955
SSBP3,ENSG00000157216,Stim8hr,-0.9736,0.9006,-0.1455,-0.0143,0.7729,-1.8742,-0.0585,-2.644,-0.0694,2.644,Th1_vs_Th2,→Th2,skew-Th2,0,-21.0482,0
STAT1,ENSG00000115415,Stim48hr,-2.395,-0.6634,-0.233,-0.1814,-0.4726,-1.7316,-0.9157,-2.6433,-1.5152,2.6433,Th1_vs_Th2,→Th2,skew-Th2,1,-15.5054,1
UBE2I,ENSG00000103275,Stim48hr,0.5887,-0.2934,-0.0394,-1.3973,0.5449,0.882,1.4826,1.2283,2.6431,2.6431,Effector_vs_Treg,→Effector,boost-immunity,6,-16.6179,733
SMARCD1,ENSG00000066117,Stim8hr,0.8371,-1.3362,-0.5009,0.116,-0.7187,2.1734,-0.4493,2.643,-0.7982,2.643,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-11.3593,53
GPR132,ENSG00000183484,Stim48hr,0.1324,-0.4524,0.0942,-1.557,0.0184,0.5848,1.4818,0.788,2.6416,2.6416,Effector_vs_Treg,→Effector,boost-immunity,0,-15.5087,1
ZNF623,ENSG00000183309,Rest,0.5518,-0.2408,-0.0383,-0.9502,-0.0329,0.7925,1.0411,1.0808,2.6411,2.6411,Effector_vs_Treg,→Effector,boost-immunity,2,-6.506,4
ZDHHC24,ENSG00000174165,Stim8hr,-0.2654,-0.4489,-0.1496,-1.6827,0.8263,0.1834,1.3947,0.0437,2.64,2.64,Effector_vs_Treg,→Effector,boost-immunity,0,-5.7973,0
NLRP1,ENSG00000091592,Stim8hr,-0.9286,0.942,-0.6126,0.171,0.1377,-1.8706,-0.3707,-2.6393,-0.6516,2.6393,Th1_vs_Th2,→Th2,skew-Th2,0,-9.0564,4
TANK,ENSG00000136560,Stim48hr,-0.849,-0.7125,0.1189,-1.961,-0.4843,-0.1365,1.4801,-0.2805,2.6387,2.6387,Effector_vs_Treg,→Effector,boost-immunity,1,-7.5646,32
PRPF39,ENSG00000185246,Stim8hr,0.7109,0.5304,0.3606,-0.8576,0.0367,0.1805,1.3915,0.0399,2.6341,2.6341,Effector_vs_Treg,→Effector,boost-immunity,5,-11.7412,325
IMPDH2,ENSG00000178035,Rest,1.0928,-0.8362,0.7816,0.2661,0.6091,1.929,0.0799,2.6334,0.2404,2.6334,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-5.4027,32
ASTE1,ENSG00000034533,Stim48hr,0.8681,-0.9621,0.1934,-0.5148,-0.4443,1.8302,0.5479,2.6328,1.0224,2.6328,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-8.1944,0
TNFRSF18,ENSG00000186891,Stim8hr,0.1059,-0.6952,-1.1295,-1.9629,0.0986,0.8011,1.3899,0.8505,2.6312,2.6312,Effector_vs_Treg,→Effector,boost-immunity,1,-13.2677,0
GTSE1,ENSG00000075218,Stim8hr,-0.9463,0.9171,-0.0415,0.8896,0.7017,-1.8635,-0.9131,-2.63,-1.663,2.63,Th1_vs_Th2,→Th2,skew-Th2,0,-9.1823,1
CHD2,ENSG00000173575,Stim8hr,1.116,-1.044,0.3705,-0.4486,0.1681,2.16,0.5961,2.6255,1.151,2.6255,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-9.5039,28
GLS,ENSG00000115419,Stim48hr,0.9078,-0.9175,0.7777,-0.5222,0.8056,1.8253,0.7782,2.6255,1.4217,2.6255,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),1,-14.3199,77
CARD11,ENSG00000198286,Stim8hr,0.9851,-1.1742,-0.265,-0.6709,-1.1289,2.1594,0.5195,2.6247,1.0082,2.6247,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),5,-4.4617,406
CDKN2AIPNL,ENSG00000237190,Stim48hr,-1.2358,0.4832,-0.6905,0.4406,-0.1993,-1.719,-0.9216,-2.6246,-1.5254,2.6246,Th1_vs_Th2,→Th2,skew-Th2,0,-18.1518,3
LMLN,ENSG00000185621,Stim48hr,-0.6063,-0.3035,-0.8364,0.9717,-0.118,-0.3028,-1.5537,-0.5268,-2.6215,2.6215,Effector_vs_Treg,→Treg,suppress-inflammation,0,-2.0573,33
TOR1A,ENSG00000136827,Stim8hr,-0.2927,1.5636,-0.0505,0.2221,0.4151,-1.8563,0.1847,-2.6206,0.384,2.6206,Th1_vs_Th2,→Th2,skew-Th2,3,-29.8796,28
CEBPB,ENSG00000172216,Stim48hr,0.2888,-0.3596,0.1904,-1.4297,0.196,0.6484,1.4695,0.8822,2.6203,2.6203,Effector_vs_Treg,→Effector,boost-immunity,0,-11.9533,12
SAMD8,ENSG00000156671,Rest,-0.2969,-0.4656,0.0539,0.8261,0.0721,0.1687,-1.0623,0.2286,-2.6125,2.6125,Effector_vs_Treg,→Treg,suppress-inflammation,0,-13.7222,1
ITGAL,ENSG00000005844,Stim8hr,0.9529,-1.1956,-0.6381,-0.964,-0.5531,2.1485,0.6704,2.6105,1.2895,2.6105,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-24.364,42
PAK4,ENSG00000130669,Rest,-1.0826,0.1579,-0.3406,0.6396,-0.2446,-1.2404,-1.0613,-1.6965,-2.61,2.61,Effector_vs_Treg,→Treg,suppress-inflammation,0,-4.6333,0
HERC4,ENSG00000148634,Stim8hr,-0.3013,-0.2545,-0.4868,1.0726,0.0294,-0.0468,-1.4201,-0.2571,-2.6082,2.6082,Effector_vs_Treg,→Treg,suppress-inflammation,1,-4.2815,32
C1D,ENSG00000197223,Stim48hr,0.7189,-0.4845,-0.4378,1.4753,-0.0544,1.2034,-1.5431,1.7043,-2.6031,2.6031,Effector_vs_Treg,→Treg,suppress-inflammation,6,-8.6262,893
PTPN1,ENSG00000196396,Rest,1.2793,-0.627,0.5276,0.2786,1.7353,1.9063,0.1148,2.6024,0.3274,2.6024,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),4,-3.1217,383
TIMM10,ENSG00000134809,Stim8hr,0.1794,-1.9627,-0.3898,-0.2598,0.1446,2.1422,-0.4646,2.6023,-0.8266,2.6023,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),4,-7.7365,1055
NT5E,ENSG00000135318,Stim8hr,-0.6732,1.1679,-0.407,-0.009,0.1429,-1.8411,0.0382,-2.6008,0.1108,2.6008,Th1_vs_Th2,→Th2,skew-Th2,0,-7.6358,0
CPSF6,ENSG00000111605,Stim8hr,-0.0244,-2.1651,1.6744,1.0433,1.1111,2.1407,-1.2151,2.6003,-2.226,2.6003,Th1_vs_Th2,→Th1; →Treg,suppress-inflammation,17,-9.6428,2486
KIF1C,ENSG00000129250,Stim8hr,0.8058,-1.3346,-0.8886,-0.0448,-1.1207,2.1404,-0.4277,2.5999,-0.7579,2.5999,Th1_vs_Th2,→Th1,skew-Th1 (pro-inflammatory),0,-17.2833,6
CHD4,ENSG00000111642,Stim48hr,1.2348,-0.5728,-1.0975,1.1019,-0.0229,1.8075,-1.247,2.5992,-2.0897,2.5992,Th1_vs_Th2,→Th1; →Treg,suppress-inflammation,6,-4.1957,416
